area,artifact_path,status,priority,notes
target_packet,config/real_drug_targets_blind_ca2_zn_v1.csv,missing,P0,"Create the primary blind target row for Carbonic_Anhydrase_2_Zn using repo-local 1CA2/P00918 structures as the first anchor."
target_metadata,config/ligand_target_metadata_blind_ca2_zn_v1.csv,missing,P0,"Define target_family, sequence, metal-pocket metadata, and pocket fingerprint for CA2."
core_reference,config/ligand_binding_reference_blind_ca2_zn_v1.csv,missing,P0,"Create the first binder/non-binder blind reference table for CA2 core blind evaluation."
core_splits,config/ligand_eval_splits_blind_ca2_zn_v1.csv,missing,P0,"Define fit versus far_ood_eval role assignments for the core blind packet."
core_ligand_meta,config/ligand_meta_blind_ca2_zn_v1.csv,missing,P0,"Add ligand descriptors needed for leakage audit and hard-decoy synthesis."
ood_reference,config/ligand_binding_reference_blind_ca2_zn_chembl50_v1.csv,missing,P1,"Create the expanded OOD reference table for CA2."
ood_splits,config/ligand_eval_splits_blind_ca2_zn_chembl50_v1.csv,missing,P1,"Define far_ood_eval roles for the larger CA2 OOD set."
ood_ligand_meta,config/ligand_meta_blind_ca2_zn_chembl50_v1.csv,missing,P1,"Add ligand descriptors for the larger OOD set."
core_profile,config/ligand_htvs_blind_ca2_zn_v1.json,missing,P1,"Clone a blind ligand profile as a scaffold; do not claim family optimization yet."
ood_profile,config/ligand_htvs_blind_ca2_zn_chembl50_v1.json,missing,P1,"Clone a larger-OOD blind ligand profile for CA2."
family_set_template,config/external_validation_biorxiv_non_kinase_enzyme_ca2_v1_template.json,missing,P1,"Add a set1/set2/set3 template for the non-kinase enzyme family."
metal_handling_policy,docs/non_kinase_enzyme_ca2_expansion_scaffold.md,partial,P1,"Freeze whether current metal-aware structure handling is sufficient or whether CA2-specific handling is needed before execution."
fit_donor_policy,docs/non_kinase_enzyme_ca2_expansion_scaffold.md,partial,P1,"Freeze whether hard-decoy donor pool reuses an existing fit target or uses a non-kinase enzyme donor packet."
secondary_reference,Dihydrofolate Reductase,partial,P2,"Keep as a secondary enzyme reference until a ligand governance packet exists."
secondary_reference,Fructose-1,6-bisphosphatase 1,partial,P2,"Keep as a secondary enzyme reference until a ligand governance packet exists."
secondary_reference,L-Lactate Dehydrogenase A Chain,partial,P2,"Keep as a secondary enzyme reference until a ligand governance packet exists."
documentation,docs/non_kinase_enzyme_ca2_expansion_scaffold.md,complete,P0,"Family scaffold and governance checklist added."
