queue_rank,required_benchmark_id,required_target_id,scope,metric_profile,dropzone_status,dropzone_folder,file_required_count,file_present_count,file_missing_count,operator_value_required_count,patch_preview_csv,dropzone_md,next_action,blockers
1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/03_hist_required_monomer_003,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/03_hist_required_monomer_003/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/03_hist_required_monomer_003/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/04_hist_required_monomer_004,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/04_hist_required_monomer_004/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/04_hist_required_monomer_004/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/05_hist_required_monomer_005,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/05_hist_required_monomer_005/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/05_hist_required_monomer_005/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/06_hist_required_monomer_006,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/06_hist_required_monomer_006/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/06_hist_required_monomer_006/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/07_hist_required_monomer_007,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/07_hist_required_monomer_007/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/07_hist_required_monomer_007/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/08_hist_required_monomer_008,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/08_hist_required_monomer_008/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/08_hist_required_monomer_008/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/09_hist_required_monomer_009,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/09_hist_required_monomer_009/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/09_hist_required_monomer_009/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/10_hist_required_monomer_010,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/10_hist_required_monomer_010/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/10_hist_required_monomer_010/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_evidence_files,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/11_hist_required_monomer_011,6,0,6,10,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/11_hist_required_monomer_011/replacement_intake_patch_preview.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/11_hist_required_monomer_011/EVIDENCE_DROPZONE.md,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","missing_files:6,operator_values_required:10"
