queue_rank,scaffold_row_rank,required_benchmark_id,required_target_id,scope,metric_profile,replacement_queue_status,strict_blind_replacement_required,current_seed_competitive_allowed_count,current_seed_retrospective_count,current_seed_authority_required_count,requirement_field_count,replacement_folder,requirements_csv,next_action,blockers
1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/01_hist_required_monomer_001,casp17/historical_seed_strict_blind_replacement_queue/01_hist_required_monomer_001/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/02_hist_required_monomer_002,casp17/historical_seed_strict_blind_replacement_queue/02_hist_required_monomer_002/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
3,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/03_hist_required_monomer_003,casp17/historical_seed_strict_blind_replacement_queue/03_hist_required_monomer_003/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
4,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/04_hist_required_monomer_004,casp17/historical_seed_strict_blind_replacement_queue/04_hist_required_monomer_004/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
5,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/05_hist_required_monomer_005,casp17/historical_seed_strict_blind_replacement_queue/05_hist_required_monomer_005/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/06_hist_required_monomer_006,casp17/historical_seed_strict_blind_replacement_queue/06_hist_required_monomer_006/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/07_hist_required_monomer_007,casp17/historical_seed_strict_blind_replacement_queue/07_hist_required_monomer_007/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/08_hist_required_monomer_008,casp17/historical_seed_strict_blind_replacement_queue/08_hist_required_monomer_008/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
9,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/09_hist_required_monomer_009,casp17/historical_seed_strict_blind_replacement_queue/09_hist_required_monomer_009/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,"TM,GDT_TS,CA_lDDT",awaiting_strict_blind_replacement,True,0,10,7,16,casp17/historical_seed_strict_blind_replacement_queue/10_hist_required_monomer_010,casp17/historical_seed_strict_blind_replacement_queue/10_hist_required_monomer_010/strict_blind_replacement_requirements.csv,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required"
