dropzone_id,action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,evidence_class,template_column,source_row_fill_csv,current_value,recommended_value,patch_status,apply_status,blocker,apply_plan_csv,apply_plan_md,next_action
priority_007_REQUIRED_MONOMER_007,181,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,target_identity,benchmark_id,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,hist_REQUIRED_MONOMER_007,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,182,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,target_identity,target_id,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_MONOMER_007,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,183,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,core_file,prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_007_prediction.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,184,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,core_file,native_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_007_native.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,185,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,leakage_clearance,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_NO_LEAK_CLEARANCE,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,186,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,prediction_method,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_INTERNAL_METHOD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,187,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,prediction_created_at,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,YYYY-MM-DD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,188,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,native_release_date,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,YYYY-MM-DD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,189,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,prediction_generated_before_native_release,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_TRUE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,190,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,public_template_or_native_used_for_prediction,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,191,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,other_team_model_used,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,192,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,post_release_information_used,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,193,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,current_casp17_target,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,194,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,provenance,operator_clearance,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_OPERATOR_CLEARANCE,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,195,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,recursive_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,196,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,scored_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,197,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,sidechain_scaffold_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,198,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,sidechain_repacked_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,199,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,sidechain_completed_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,200,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,steric_relaxed_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,201,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,rotamer_minimized_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,202,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,polar_refined_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,203,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,forcefield_minimized_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,204,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,ablation_file,statistical_rotamer_prediction_pdb,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_007TS.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_007_REQUIRED_MONOMER_007,205,7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,calibration,selected_model_rank,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,REQUIRED_1_TO_5,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
