sync_action_id,sync_mode,candidate_rank,candidate_id,target_id,ligand_id,field_order,field_key,review_gate_status,linked_action_md,destination_action_exists,source_operator_value,source_operator_evidence_ref,source_operator_clearance,source_operator_id,proposed_action_status,proposed_evidence_ref,action_status,blocker,next_action
organic_ligand_metric_evidence_sync_001,dry_run,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,1,direct_native_or_source_authority,blocked,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/002_direct_native_or_source_authority/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_002,dry_run,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,2,no_leak_provenance,blocked,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/003_no_leak_provenance/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_003,dry_run,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,3,prediction_chronology,blocked,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/004_prediction_chronology/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_004,dry_run,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,4,ligand_pose_reference,blocked,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/005_ligand_pose_reference/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_005,dry_run,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,5,strict_blind_slot_mapping,blocked,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/009_strict_blind_slot_mapping/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_006,dry_run,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,1,direct_native_or_source_authority,blocked,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/011_direct_native_or_source_authority/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_007,dry_run,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,2,no_leak_provenance,blocked,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/012_no_leak_provenance/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_008,dry_run,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,3,prediction_chronology,blocked,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/013_prediction_chronology/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_009,dry_run,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,4,ligand_pose_reference,blocked,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/014_ligand_pose_reference/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
organic_ligand_metric_evidence_sync_010,dry_run,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,5,strict_blind_slot_mapping,blocked,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/018_strict_blind_slot_mapping/ACTION.md,True,,,,,,,blocked_review_gate_not_ready,template_operator_value_missing,complete organic ligand metric evidence review gate before sync
