field_key,fill_kind,operator_value,operator_evidence_ref,required_format,current_value,destination,blocked_checks,operator_status,next_action
source_id,manifest_value,,,internal source id; must not start official_archive/casp_official/massivefold_external,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,source_id_internal,awaiting_operator_value,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool"
prediction_pdb,file,,,local pre-native prediction PDB path with ATOM/HETATM records,,,"manifest_prediction_pdb_present,manifest_prediction_pdb_exists,prediction_pdb_has_atom_records",awaiting_operator_value,point prediction_pdb at the verified internal prediction PDB; place the internal prediction PDB at the manifest path; provide a structurally valid PDB with atom records
prediction_pdb_dropzone,file,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,,first-slot prediction dropzone PDB copy path,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,dropzone_prediction_pdb_exists,awaiting_file_copy,copy the verified internal prediction PDB into the first-slot prediction dropzone
prediction_created_at,manifest_value,,,YYYY-MM-DD prediction creation date,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,prediction_created_at_present,awaiting_operator_value,enter a verifiable prediction creation date before native release
native_release_date,manifest_value,,,YYYY-MM-DD authoritative native release date,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,native_release_date_present,awaiting_operator_value,enter the authoritative native public release date
prediction_created_at/native_release_date,manifest_value,/,,derived: prediction_created_at < native_release_date,/,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,prediction_before_native,awaiting_derived_date_order,use only prediction evidence created before the native structure was public
native_authority_ref,manifest_value,,,artifact path or URI for authoritative native source,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,native_authority_ref_present,awaiting_operator_value,attach authoritative native source reference
creation_evidence_ref,manifest_value,,,artifact path or URI for independent prediction timestamp evidence,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,creation_evidence_ref_present,awaiting_operator_value,attach independent timestamp evidence for the internal prediction
no_leak_evidence_ref,manifest_value,,,artifact path or URI for no-leak provenance evidence,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,no_leak_evidence_ref_present,awaiting_operator_value,attach no-leak provenance for the internal prediction source
method_summary,manifest_value,,,short internal prediction method/source summary,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,method_summary_present,awaiting_operator_value,summarize the internal prediction method and source package
operator_clearance,manifest_value,,,approved/clear/cleared/true/yes/operator_clear/operator_approved,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,operator_clearance_present,awaiting_operator_value,set operator_clearance after reviewing the prediction source and provenance
