queue_rank,required_benchmark_id,required_target_id,scope,metric_profile,template_status,preflight_status,filled_field_count,missing_field_count,required_field_count,replacement_target_id,replacement_benchmark_id,prediction_pdb,native_pdb,no_leak_evidence_ref,ablation_manifest_ref,calibration_values_ref,intake_csv,preflight_csv,preflight_md,blockers,next_action
1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/02_hist_required_monomer_002/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/02_hist_required_monomer_002/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/02_hist_required_monomer_002/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/03_hist_required_monomer_003/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/03_hist_required_monomer_003/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/03_hist_required_monomer_003/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/04_hist_required_monomer_004/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/04_hist_required_monomer_004/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/04_hist_required_monomer_004/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/05_hist_required_monomer_005/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/05_hist_required_monomer_005/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/05_hist_required_monomer_005/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/06_hist_required_monomer_006/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/06_hist_required_monomer_006/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/06_hist_required_monomer_006/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/07_hist_required_monomer_007/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/07_hist_required_monomer_007/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/07_hist_required_monomer_007/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/08_hist_required_monomer_008/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/08_hist_required_monomer_008/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/08_hist_required_monomer_008/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/09_hist_required_monomer_009/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/09_hist_required_monomer_009/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/09_hist_required_monomer_009/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,"TM,GDT_TS,CA_lDDT",created,awaiting_operator_input,0,16,16,REQUIRED_CLOSED_HISTORICAL_TARGET_ID,REQUIRED_REPLACEMENT_BENCHMARK_ID,REQUIRED_LOCAL_PREDICTION_PDB,REQUIRED_LOCAL_NATIVE_PDB,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_REF,REQUIRED_LOCAL_ABLATION_MANIFEST_REF,REQUIRED_LOCAL_CALIBRATION_VALUES_REF,casp17/historical_seed_strict_blind_replacement_intake/10_hist_required_monomer_010/replacement_candidate_intake.csv,casp17/historical_seed_strict_blind_replacement_intake/10_hist_required_monomer_010/replacement_candidate_preflight.csv,casp17/historical_seed_strict_blind_replacement_intake/10_hist_required_monomer_010/PREFLIGHT.md,"replacement_target_id_required,replacement_benchmark_id_required,target_identity_non_current_historical_required,prediction_pdb_required,native_pdb_required,native_authority_ref_required,prediction_created_at_required,native_release_date_required,prediction_generated_before_native_release_required,no_leak_evidence_ref_required,public_template_or_native_used_for_prediction_required,other_team_model_used_required,post_release_information_used_required,ablation_manifest_ref_required,calibration_values_ref_required,operator_clearance_required","fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight"
