dropzone_id,operator_priority,row_rank,scope,current_benchmark_id,current_target_id,proposed_benchmark_id,proposed_target_id,evidence_ref,operator_clearance,identity_status,blockers,file_actions_unlocked,canonical_prediction_pdb,canonical_native_pdb,canonical_ablation_dir,next_action
priority_001_REQUIRED_MONOMER_001,1,1,monomer,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,2,2,monomer,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_003_REQUIRED_MONOMER_003,3,3,monomer,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_004_REQUIRED_MONOMER_004,4,4,monomer,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_005_REQUIRED_MONOMER_005,5,5,monomer,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_006_REQUIRED_MONOMER_006,6,6,monomer,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_007_REQUIRED_MONOMER_007,7,7,monomer,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_008_REQUIRED_MONOMER_008,8,8,monomer,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_009_REQUIRED_MONOMER_009,9,9,monomer,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_010_REQUIRED_MONOMER_010,10,10,monomer,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_011_REQUIRED_COMPLEX_001,11,26,complex,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_012_REQUIRED_COMPLEX_002,12,27,complex,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_013_REQUIRED_COMPLEX_003,13,28,complex,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_014_REQUIRED_COMPLEX_004,14,29,complex,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
priority_015_REQUIRED_COMPLEX_005,15,30,complex,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,,,,,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",0,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance"
