seed_rank,batch_slot,benchmark_id,target_id,scope,clearance_status,identity_status,core_files_status,no_leak_provenance_status,calibration_status,ablation_status,blocking_field_count,blockers,next_action
1,1,hist_seed_bba5,HIST_BBA5,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
2,2,hist_seed_chignolin,HIST_CHIGNOLIN,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
3,3,hist_seed_crambin,HIST_CRAMBIN,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
4,4,hist_seed_fsd_1,HIST_FSD_1,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
5,5,hist_seed_gb1_mini,HIST_GB1_MINI,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
6,6,hist_seed_protein_a_bdomain,HIST_PROTEIN_A_BDOMAIN,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
7,7,hist_seed_trp_cage,HIST_TRP_CAGE,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
8,8,hist_seed_ubiquitin_mini,HIST_UBIQUITIN_MINI,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
9,9,hist_seed_villin_hp35,HIST_VILLIN_HP35,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
10,10,hist_seed_ww_domain_fip35,HIST_WW_DOMAIN_FIP35,monomer,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
11,11,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,complex,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
12,12,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,complex,awaiting_seed_clearance,ready,ready,awaiting_no_leak_provenance,awaiting_calibration_values,awaiting_ablation_manifest,18,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","fill operator no-leak evidence, chronology, and leakage controls"
