artifact_id,label,status,ready_count,blocked_count,total_count,path,next_action,blockers
target_model_folders,Per-target 3D model folders,ready,19,0,19,casp17/casp17_target_model_folders_current.json,Use per-protein folders for local visual review and submission-readiness inspection.,
target_object_catalog,Per-object chain-level 3D model catalog,ready,58,0,58,casp17/casp17_target_object_models_current.md,"Open the per-object catalog for chain-level PDB, projection, and local viewer review.","projection_missing_count:0,viewer_missing_count:0"
target_object_folder_audit,Audit for per-protein object folders and chain-level 3D files,pass,58,0,58,casp17/casp17_target_object_folder_audit_current.json,Keep this pass before treating per-protein object folders as independently reviewable.,"protein_atom_objects:58,coordinate_valid_objects:58,total_protein_atoms:131343"
target_object_viewer_smoke,Smoke audit for per-object local 3D viewers,pass,58,0,58,casp17/casp17_target_object_viewer_smoke_current.json,Keep this pass before relying on per-object viewer artifacts for review.,
target_object_model_review,Per-object molecular geometry review packet,pass,58,0,58,casp17/casp17_target_object_model_review_current.json,Open object review markdown files for per-chain molecular geometry inspection.,"review_md:58,viewer_local:58,protein_atoms:131343,radius:11.275-26.759,gallery:pass"
protein_object_library,Protein-name folders for individual 3D object model review,pass,58,0,58,casp17/casp17_protein_object_library_current.json,Use the protein-name library folders for object-by-object molecular review.,"protein_folders:19,model_projection_viewer:58/58/58,first_blocked:-"
protein_object_library_completion_audit,Completion audit for protein-name folders and per-object 3D molecular assets,pass,58,0,58,casp17/casp17_protein_object_library_completion_audit_current.json,"keep protein-name folders, per-object manifests, model PDBs, projections, and viewers green while strict-blind historical benchmark evidence is filled","proteins:19/0/19,assets:58/58/58,manifests:58/19,first_blocked:-"
protein_object_library_navigation_catalog,Navigation catalog for protein-name 3D object folders and viewers,protein_object_library_navigation_catalog_ready,58,0,58,casp17/casp17_protein_object_library_navigation_catalog_current.json,"Use the protein-name navigation catalog to jump from each protein folder to its chain/object viewer, projection, model, and manifest while strict-blind benchmark evidence is filled.","proteins:19/0/19,links:19/19,largest:H1335_HCMV_Merlin_gHgLgO_Fab_complex/5,html:casp17/casp17_protein_object_library_navigation_catalog_current.html"
casp17_3d_molecular_object_atlas,Unified CASP17 3D molecular object atlas,casp17_3d_molecular_object_atlas_ready_review_only,68,0,68,casp17/casp17_3d_molecular_object_atlas_current.json,Use the unified atlas to inspect every CASP17 3D object by protein name while strict-blind competitive proof and native metrics remain separately gated.,"proteins:24/0/24,objects:68/0/68,source_objects:58/10,source_proteins:19/10/overlap:5,links:68/68/68/10/10,sha:10/10,native_proof_author:0/0/0,first:H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A,blocked:-"
casp17_3d_molecular_object_atlas_completion_audit,Completion audit for CASP17 3D molecular object atlas folders and links,casp17_3d_molecular_object_atlas_completion_audit_pass,68,0,68,casp17/casp17_3d_molecular_object_atlas_completion_audit_current.json,Use this green audit as the 3D object organization gate while strict-blind metrics remain separately blocked.,"proteins:24/24/24/24,objects:68/0/68,source_objects:58/10,atlas_object_files:68/68/68,links:68/68/68/10/10,coordinate_copies:0/0,proof_author:0/0,first:H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A,blocked:-"
casp17_3d_molecular_object_metric_handoff,Review-only handoff from 3D molecular objects to win-tier metric requirements,casp17_3d_molecular_object_metric_handoff_ready_review_only_ligand_gap,68,0,68,casp17/casp17_3d_molecular_object_metric_handoff_current.json,Use this review-only handoff to connect each 3D object to required win-tier metrics while strict-blind native evidence and organic ligand slots remain separately gated.,"objects:68/0/68,source_objects:58/10,metric_requirements:583,covered_required:9/11,missing_required:2/LDDT-PLI,BiSyRMSD,ligand_gap:2,families:3/61/4/0,folders:24/68,native_proof_author:0/0/0,first:H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A,blocked:-"
casp17_3d_molecular_object_metric_handoff_completion_audit,Completion audit for review-only 3D object metric handoff folders and requirement files,casp17_3d_molecular_object_metric_handoff_completion_audit_pass,68,0,68,casp17/casp17_3d_molecular_object_metric_handoff_completion_audit_current.json,Use this green completion audit before relying on the 3D object metric handoff for review-only metric planning.,"proteins:24/24/24/24,objects:68/0/68,source_objects:58/10,object_files:68/68/68/68,metric_rows:583/583/mismatch:0,links:68/68/68/10/10,evidence_awaiting:68,coordinate_copies:0/0,proof_author:0/0,first:H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A,blocked:-"
raw_ranked_model_quarantine,Quarantine audit for untracked raw-ranked internal model PDBs,pass,15,0,15,casp17/casp17_raw_ranked_model_quarantine_audit_current.json,Keep raw-ranked PDBs quarantined and use reviewed protein/object folders for commit-safe inspection.,"targets:3,top5:3,quarantined:15,author_present:0,atoms:10690"
current_casp17_submission_gate,Current CASP17 TS submission gate and prospective blind-readiness packet,current_casp17_submission_gate_ready,19,0,19,runs/casp17_submission_gate_packet_current.json,"keep local TS gate green, package only with operator-approved CASP author code, and wait for native release before any performance claim","go/no-go/total:19/0/19,framework:True,shape:pass/19/19,lane_difficult:19,server:False"
current_casp17_sidechain_repack,Current CASP17 sidechain repack and local TS format/geometry/confidence pass,pass,19,0,19,runs/casp17_sidechain_repack_packet_current.json,use repacked or shape-guarded TS files as local submission candidates; do not treat them as native accuracy proof,"pass/blocked/total:19/0/19,soft_delta:529,soft_before_after:1955/1426,improved/repacked:7179/15657,revert_guard:8"
current_casp17_submission_package_preflight,Manifest-only preflight for current CASP17 TS submission candidates,ready,19,0,19,casp17/casp17_current_submission_package_preflight_current.json,use this manifest for final local review; upload only with operator-approved runtime CASP author code and current CASP target deadline checks,"gate:current_casp17_submission_gate_ready/19/0/19,files:19,format:19,author:19,sidechain:19,sha256:19,server:False"
current_casp17_submission_deadline_guard,Current-date deadline guard for CASP17 TS submission candidates,partial_current_upload_window_ready,11,8,19,casp17/casp17_current_submission_deadline_guard_current.json,submit or archive only targets whose human deadline remains open; move expired target files into late-retrospective review rather than current upload readiness,"date:2026-06-02,expired/today/future:8/2/9,qa:14/5/0,package:ready/19/0/19,watchlist_stale:True/7,first:H1335/human_submission_deadline_expired,nearest:H2319/2026-06-02"
current_casp17_upload_queue,Official-targetlist-aware current CASP17 upload queue,official_verified_current_upload_queue_partial,10,9,19,casp17/casp17_current_upload_queue_current.json,"work queue_rank > 0 only, starting with expiring-today targets; do not upload cancelled, expired, or official/local deadline-mismatched rows without operator review","official:https://predictioncenter.org/casp17/targetlist.cgi?type=csv/targets:77,direct/mapped/missing:18/1/0,ready/blocked:10/9,today/soon/future:2/4/4,expired/cancelled/mismatch:9/1/1,first_ready:H2319/2026-06-02,first_blocked:H1335/human_submission_deadline_expired"
current_casp17_upload_review_packet,Operator review packet for official-upload-ready CASP17 targets and 3D object folders,current_upload_review_packet_ready,10,0,10,casp17/casp17_current_upload_review_packet_current.json,open each UPLOAD_REVIEW.md in queue_rank order; upload only with operator-approved runtime CASP author code and only while the official human deadline remains open,"queue:official_verified_current_upload_queue_partial/10/9/19,urgency:2/4/4,candidate/object/viewer:10/10/10,first:H2319/casp17/current_upload_review_packet/01_h2319_human_astrovirus_va1_capsid_spike_-_antibody_7c8_complex/UPLOAD_REVIEW.md,blocked:-/-"
current_casp17_prospective_strict_blind_escrow,Prospective strict-blind escrow for current CASP17 candidates,current_prospective_strict_blind_escrow_ready_native_pending_partial_upload_window,19,0,19,casp17/casp17_current_prospective_strict_blind_escrow_current.json,externally timestamp the escrow manifest and attach official native structures after release; keep current proof eligibility false until then,"upload:10/9,sha/review/native/ext-ts:19/10/19/19,proof:0,author:0,first_upload:H2319,first_blocked_upload:H1335"
win_gap_closure,CASP17 win-gap closure state,blocked_input,4,5,9,runs/casp17_win_gap_closure_packet_current.json,historical_benchmark_inputs,"ready_total_below_threshold,ready_monomer_below_threshold,ready_complex_below_threshold"
