capri_target_id,casp_target_id,status,prediction_start,prediction_server_end,prediction_human_end,scoring_start,scoring_end,recommended_role,readiness_status,target_folder,action,blockers
T327,H1311,Closed,2026-04-29 22:23,2026-05-02 17:00,2026-05-13 17:00,2026-05-14 09:00,2026-05-18 23:59,closed,closed_context,casp17/capri_round65/targets/T327_H1311,closed; preserve only as schedule context,closed_target
T328,H2324,Closed,2026-05-07 17:30,2026-05-10 17:00,2026-05-21 17:00,2026-05-22 09:00,2026-05-26 23:59,closed,closed_context,casp17/capri_round65/targets/T328_H2324,closed; preserve only as schedule context,closed_target
T329,H2312,Scoring challenge,2026-05-13 17:30,2026-05-16 17:00,2026-05-27 17:00,2026-05-28 09:00,2026-05-31 23:59,scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T329_H2312,emergency scorer preflight if registered and scoring files are available,"operator_registration_required,role_selection_required,capri_template_required"
T330,T2313,Scoring challenge,2026-05-14 17:30,2026-05-17 17:00,2026-05-28 17:00,2026-05-29 09:00,2026-06-01 23:59,scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T330_T2313,scorer preflight now; scoring closes on registration-deadline day,"operator_registration_required,role_selection_required,capri_template_required"
T331,H2338,Scoring challenge,2026-05-14 17:30,2026-05-17 17:00,2026-05-29 17:00,2026-05-30 09:00,2026-06-01 23:59,scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T331_H2338,scorer preflight now; scoring closes on registration-deadline day,"operator_registration_required,role_selection_required,capri_template_required"
T332,H2339,Prediction (human only),2026-05-15 17:30,2026-05-18 17:00,2026-05-30 17:00,2026-06-01 09:00,2026-06-05 23:59,scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T332_H2339,prediction closed; scoring starts on registration-deadline day,"operator_registration_required,role_selection_required,capri_template_required"
T333,H2319,Prediction (human only),2026-05-19 17:30,2026-05-22 17:00,2026-06-02 17:00,2026-06-03 09:00,2026-06-06 23:59,predictor_then_scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T333_H2319,"predictor if CASP ID is ready, then prepare scorer lane","operator_registration_required,role_selection_required,capri_template_required"
T334,H2321,Prediction (human only),2026-05-20 17:30,2026-05-23 17:00,2026-06-03 17:00,2026-06-04 09:00,2026-06-08 23:59,predictor_then_scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T334_H2321,"predictor if CASP ID is ready, then prepare scorer lane","operator_registration_required,role_selection_required,capri_template_required"
T335,H2335,Prediction challenge,2026-05-27 17:30,2026-05-30 17:00,2026-06-10 17:00,2026-06-11 09:00,2026-06-15 23:59,predictor_then_scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T335_H2335,"human predictor priority, then scorer","operator_registration_required,role_selection_required,capri_template_required"
T336,H2340,Upcoming,2026-06-01 17:30,2026-06-04 17:00,2026-06-15 17:00,2026-06-16 09:00,2026-06-20 23:59,predictor_then_scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T336_H2340,predictor/server priority when target opens,"operator_registration_required,role_selection_required,capri_template_required"
T337,H2343,Upcoming,2026-06-01 17:30,2026-06-04 17:00,2026-06-15 17:00,2026-06-16 09:00,2026-06-20 23:59,predictor_then_scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T337_H2343,predictor/server priority when target opens,"operator_registration_required,role_selection_required,capri_template_required"
T338,T2342,Upcoming,2026-06-02 17:30,2026-06-05 17:00,2026-06-16 17:00,2026-06-17 09:00,2026-06-21 23:59,predictor_then_scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T338_T2342,predictor/server watch,"operator_registration_required,role_selection_required,capri_template_required"
T339,H2344,Upcoming,2026-06-03 17:30,2026-06-06 17:00,2026-06-17 17:00,2026-06-18 09:00,2026-06-22 23:59,predictor_then_scorer,blocked_registration_role_selection,casp17/capri_round65/targets/T339_H2344,predictor/server watch,"operator_registration_required,role_selection_required,capri_template_required"
