queue_rank,required_benchmark_id,required_target_id,scope,quality_status,ready_for_quality_review,file_required_count,file_present_count,file_missing_count,pdb_valid_count,pdb_invalid_count,supporting_valid_count,supporting_invalid_count,prediction_status,native_status,prediction_atom_count,native_atom_count,prediction_ca_count,native_ca_count,prediction_sha256,native_sha256,prediction_native_relation,quality_md,blockers,next_action
1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/01_hist_required_monomer_001/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/02_hist_required_monomer_002/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/03_hist_required_monomer_003/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/04_hist_required_monomer_004/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/05_hist_required_monomer_005/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/06_hist_required_monomer_006/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/07_hist_required_monomer_007/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/08_hist_required_monomer_008/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/09_hist_required_monomer_009/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/10_hist_required_monomer_010/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/11_hist_required_monomer_011/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,awaiting_evidence_files,false,6,0,6,0,0,0,0,missing,missing,0,0,0,0,,,waiting_on_pdb_pair,casp17/historical_seed_strict_blind_replacement_evidence_quality_audit/12_hist_required_monomer_012/QUALITY_AUDIT.md,"prediction_pdb:file_missing,native_pdb:file_missing,native_authority_ref:file_missing,no_leak_evidence_ref:file_missing,ablation_manifest_ref:file_missing,calibration_values_ref:file_missing",place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit
