runway_rank,required_benchmark_id,required_target_id,scope,slot_status,first_blocking_stage,first_blocker,file_present_count,file_missing_count,operator_ready_count,operator_open_count,intake_filled_count,intake_missing_count,closure_artifact,next_action
1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,blocked_first_slot_source_gate,internal_prediction_source_gate,internal_source_id_missing_or_external,0,6,0,10,0,16,casp17/strict_blind_first_slot_closure_kit/hist_REQUIRED_MONOMER_001,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool"
2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/02_hist_required_monomer_002,place required strict-blind evidence files
3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/03_hist_required_monomer_003,place required strict-blind evidence files
4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/04_hist_required_monomer_004,place required strict-blind evidence files
5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/05_hist_required_monomer_005,place required strict-blind evidence files
6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/06_hist_required_monomer_006,place required strict-blind evidence files
7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/07_hist_required_monomer_007,place required strict-blind evidence files
8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/08_hist_required_monomer_008,place required strict-blind evidence files
9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/09_hist_required_monomer_009,place required strict-blind evidence files
10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/10_hist_required_monomer_010,place required strict-blind evidence files
11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/11_hist_required_monomer_011,place required strict-blind evidence files
12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/12_hist_required_monomer_012,place required strict-blind evidence files
13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/13_hist_required_monomer_013,place required strict-blind evidence files
14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/14_hist_required_monomer_014,place required strict-blind evidence files
15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/15_hist_required_monomer_015,place required strict-blind evidence files
16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/16_hist_required_monomer_016,place required strict-blind evidence files
17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/17_hist_required_monomer_017,place required strict-blind evidence files
18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/18_hist_required_monomer_018,place required strict-blind evidence files
19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/19_hist_required_monomer_019,place required strict-blind evidence files
20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/20_hist_required_monomer_020,place required strict-blind evidence files
21,hist_REQUIRED_MONOMER_021,REQUIRED_MONOMER_021,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/21_hist_required_monomer_021,place required strict-blind evidence files
22,hist_REQUIRED_MONOMER_022,REQUIRED_MONOMER_022,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/22_hist_required_monomer_022,place required strict-blind evidence files
23,hist_REQUIRED_MONOMER_023,REQUIRED_MONOMER_023,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/23_hist_required_monomer_023,place required strict-blind evidence files
24,hist_REQUIRED_MONOMER_024,REQUIRED_MONOMER_024,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/24_hist_required_monomer_024,place required strict-blind evidence files
25,hist_REQUIRED_MONOMER_025,REQUIRED_MONOMER_025,monomer,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/25_hist_required_monomer_025,place required strict-blind evidence files
26,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/26_hist_required_complex_001,place required strict-blind evidence files
27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/27_hist_required_complex_002,place required strict-blind evidence files
28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/28_hist_required_complex_003,place required strict-blind evidence files
29,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/29_hist_required_complex_004,place required strict-blind evidence files
30,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/30_hist_required_complex_005,place required strict-blind evidence files
31,hist_REQUIRED_COMPLEX_006,REQUIRED_COMPLEX_006,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/31_hist_required_complex_006,place required strict-blind evidence files
32,hist_REQUIRED_COMPLEX_007,REQUIRED_COMPLEX_007,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/32_hist_required_complex_007,place required strict-blind evidence files
33,hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/33_hist_required_complex_008,place required strict-blind evidence files
34,hist_REQUIRED_COMPLEX_009,REQUIRED_COMPLEX_009,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/34_hist_required_complex_009,place required strict-blind evidence files
35,hist_REQUIRED_COMPLEX_010,REQUIRED_COMPLEX_010,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/35_hist_required_complex_010,place required strict-blind evidence files
36,hist_REQUIRED_COMPLEX_011,REQUIRED_COMPLEX_011,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/36_hist_required_complex_011,place required strict-blind evidence files
37,hist_REQUIRED_COMPLEX_012,REQUIRED_COMPLEX_012,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/37_hist_required_complex_012,place required strict-blind evidence files
38,hist_REQUIRED_COMPLEX_013,REQUIRED_COMPLEX_013,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/38_hist_required_complex_013,place required strict-blind evidence files
39,hist_REQUIRED_COMPLEX_014,REQUIRED_COMPLEX_014,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/39_hist_required_complex_014,place required strict-blind evidence files
40,hist_REQUIRED_COMPLEX_015,REQUIRED_COMPLEX_015,complex,blocked_evidence_files,evidence_files,missing_files:6,0,6,0,10,0,16,casp17/historical_seed_strict_blind_replacement_queue/40_hist_required_complex_015,place required strict-blind evidence files
