fill_id,request_index,request_id,candidate_target_id,candidate_scope,request_kind,field_order,field_key,operator_template_csv,operator_value,operator_evidence_ref,operator_notes,value_status,evidence_status,fill_status,first_blocker,next_action
source_request_operator_fill_056,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,1,source_id,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for source_id
source_request_operator_fill_057,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,2,prediction_pdb,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_pdb
source_request_operator_fill_058,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,3,prediction_pdb_dropzone,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_not_required,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_pdb_dropzone
source_request_operator_fill_059,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,4,prediction_created_at,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_created_at
source_request_operator_fill_060,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,5,native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for native_release_date
source_request_operator_fill_061,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,6,prediction_created_at/native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_not_required,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_created_at/native_release_date
source_request_operator_fill_062,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,7,native_authority_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for native_authority_ref
source_request_operator_fill_063,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,8,creation_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for creation_evidence_ref
source_request_operator_fill_064,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,9,no_leak_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for no_leak_evidence_ref
source_request_operator_fill_065,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,10,method_summary,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for method_summary
source_request_operator_fill_066,6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,11,operator_clearance,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for operator_clearance
