request_id,candidate_target_id,candidate_scope,request_kind,audit_status,request_folder,source_request_md_present,operator_template_csv,operator_template_csv_present,expected_field_count,template_csv_row_count,worklist_row_count,template_missing_field_count,operator_value_missing_count,operator_evidence_missing_count,candidate_replacement_field_count,coordinate_copy_count,proof_marker_count,author_marker_count,blockers,next_action
source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_001,1,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_002,HIST_CHIGNOLIN,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_002,1,casp17/strict_blind_source_gate_source_request_packet/source_request_002/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_003,HIST_CRAMBIN,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_003,1,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_004,HIST_FSD_1,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_004,1,casp17/strict_blind_source_gate_source_request_packet/source_request_004/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_005,HIST_GB1_MINI,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_005,1,casp17/strict_blind_source_gate_source_request_packet/source_request_005/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_006,1,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_007,HIST_TRP_CAGE,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_007,1,casp17/strict_blind_source_gate_source_request_packet/source_request_007/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_008,HIST_UBIQUITIN_MINI,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_008,1,casp17/strict_blind_source_gate_source_request_packet/source_request_008/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_009,HIST_VILLIN_HP35,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_009,1,casp17/strict_blind_source_gate_source_request_packet/source_request_009/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_010,HIST_WW_DOMAIN_FIP35,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_010,1,casp17/strict_blind_source_gate_source_request_packet/source_request_010/operator_source_values_template.csv,1,11,11,11,0,11,9,0,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_011,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,complex,candidate_replacement_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_011,1,casp17/strict_blind_source_gate_source_request_packet/source_request_011/operator_source_values_template.csv,1,11,11,11,0,11,9,11,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_012,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,complex,candidate_replacement_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_012,1,casp17/strict_blind_source_gate_source_request_packet/source_request_012/operator_source_values_template.csv,1,11,11,11,0,11,9,11,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,pass,casp17/strict_blind_source_gate_source_request_packet/source_request_013,1,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,1,11,11,11,0,11,9,11,0,0,0,,"fill operator values and evidence refs; rerun fulfillment, sync, and source gate"
