request_id,request_status,request_kind,candidate_target_id,candidate_scope,candidate_rank,route_id,route_status,candidate_status,first_blocker,prediction_created_at,native_release_date,current_prediction_pdb,current_native_pdb,native_authority_ref,required_operator_fields,request_folder,operator_template_csv,operator_template_status,operator_field_count,operator_field_filled_count,operator_field_missing_count,first_missing_operator_field,next_action
source_request_001,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_BBA5,monomer,1,first_slot_source_route_001,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,2004-05-13,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/01_hist_bba5/native_candidate_1T8J.pdb,rcsb:1T8J;doi:10.2210/pdb1t8j/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_001,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_002,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_CHIGNOLIN,monomer,2,first_slot_source_route_002,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,2003-03-13,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/02_hist_chignolin/native_candidate_1UAO.pdb,rcsb:1UAO;doi:10.2210/pdb1uao/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_002,casp17/strict_blind_source_gate_source_request_packet/source_request_002/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_003,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_CRAMBIN,monomer,3,first_slot_source_route_003,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,1981-04-30,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/03_hist_crambin/native_candidate_1CRN.pdb,rcsb:1CRN;doi:10.2210/pdb1crn/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_003,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_004,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_FSD_1,monomer,4,first_slot_source_route_004,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,1997-06-09,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/04_hist_fsd_1/native_candidate_1FSD.pdb,rcsb:1FSD;doi:10.2210/pdb1fsd/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_004,casp17/strict_blind_source_gate_source_request_packet/source_request_004/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_005,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_GB1_MINI,monomer,5,first_slot_source_route_005,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,1991-05-15,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/05_hist_gb1_mini/native_candidate_2GB1.pdb,rcsb:2GB1;doi:10.2210/pdb2gb1/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_005,casp17/strict_blind_source_gate_source_request_packet/source_request_005/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_006,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_PROTEIN_A_BDOMAIN,monomer,6,first_slot_source_route_006,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,1996-06-28,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/06_hist_protein_a_bdomain/native_candidate_1BDD.pdb,rcsb:1BDD;doi:10.2210/pdb1bdd/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_006,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_007,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_TRP_CAGE,monomer,7,first_slot_source_route_007,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,2002-02-25,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/07_hist_trp_cage/native_candidate_1L2Y.pdb,rcsb:1L2Y;doi:10.2210/pdb1l2y/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_007,casp17/strict_blind_source_gate_source_request_packet/source_request_007/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_008,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_UBIQUITIN_MINI,monomer,8,first_slot_source_route_008,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,1987-01-02,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/08_hist_ubiquitin_mini/native_candidate_1UBQ.pdb,rcsb:1UBQ;doi:10.2210/pdb1ubq/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_008,casp17/strict_blind_source_gate_source_request_packet/source_request_008/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_009,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_VILLIN_HP35,monomer,9,first_slot_source_route_009,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,2005-02-03,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/09_hist_villin_hp35/native_candidate_1YRF.pdb,rcsb:1YRF;doi:10.2210/pdb1yrf/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_009,casp17/strict_blind_source_gate_source_request_packet/source_request_009/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
source_request_010,awaiting_pre_native_source_or_replacement,pre_native_prediction_source_required,HIST_WW_DOMAIN_FIP35,monomer,10,first_slot_source_route_010,in_scope_current_candidate_disqualified_post_native,blocked_chronology_not_strict_blind,prediction_not_before_native,2026-02-19,2005-11-15,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/10_hist_ww_domain_fip35/native_candidate_2F21.pdb,rcsb:2F21;doi:10.2210/pdb2f21/pdb,"source_id,prediction_pdb,prediction_pdb_dropzone,prediction_created_at,native_release_date,prediction_created_at/native_release_date,native_authority_ref,creation_evidence_ref,no_leak_evidence_ref,method_summary,operator_clearance",casp17/strict_blind_source_gate_source_request_packet/source_request_010,casp17/strict_blind_source_gate_source_request_packet/source_request_010/operator_source_values_template.csv,awaiting_operator_values,11,0,11,source_id,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
