template_column,evidence_class,current_value,proposed_value,evidence_ref,operator_clearance,ledger_status,next_action
benchmark_id,target_identity,hist_REQUIRED_COMPLEX_001,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter the cleared historical benchmark_id and cite the local target-selection evidence
target_id,target_identity,REQUIRED_COMPLEX_001,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter the cleared historical target_id and cite the local target-selection evidence
leakage_clearance,provenance,REQUIRED_NO_LEAK_CLEARANCE,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter leakage_clearance only after no-leak evidence supports the value
prediction_method,provenance,REQUIRED_INTERNAL_METHOD,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter prediction_method only after no-leak evidence supports the value
prediction_created_at,provenance,YYYY-MM-DD,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter prediction_created_at only after no-leak evidence supports the value
native_release_date,provenance,YYYY-MM-DD,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter native_release_date only after no-leak evidence supports the value
prediction_generated_before_native_release,provenance,REQUIRED_TRUE_CONFIRMATION,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter prediction_generated_before_native_release only after no-leak evidence supports the value
public_template_or_native_used_for_prediction,provenance,REQUIRED_FALSE_CONFIRMATION,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter public_template_or_native_used_for_prediction only after no-leak evidence supports the value
other_team_model_used,provenance,REQUIRED_FALSE_CONFIRMATION,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter other_team_model_used only after no-leak evidence supports the value
post_release_information_used,provenance,REQUIRED_FALSE_CONFIRMATION,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter post_release_information_used only after no-leak evidence supports the value
current_casp17_target,provenance,REQUIRED_FALSE_CONFIRMATION,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter current_casp17_target only after no-leak evidence supports the value
operator_clearance,provenance,REQUIRED_OPERATOR_CLEARANCE,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter operator_clearance only after no-leak evidence supports the value
selected_model_rank,calibration,REQUIRED_1_TO_5,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter selected_model_rank from the local historical scoring/calibration packet
best_model_rank,calibration,REQUIRED_1_TO_5,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter best_model_rank from the local historical scoring/calibration packet
selected_native_metric,calibration,REQUIRED_NATIVE_METRIC,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter selected_native_metric from the local historical scoring/calibration packet
best_native_metric,calibration,REQUIRED_ORACLE_METRIC,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter best_native_metric from the local historical scoring/calibration packet
selected_score,calibration,REQUIRED_INTERNAL_SCORE,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter selected_score from the local historical scoring/calibration packet
best_score,calibration,REQUIRED_ORACLE_SCORE,,,REQUIRED_OPERATOR_CLEARANCE,awaiting_value,enter best_score from the local historical scoring/calibration packet
