seed_rank,batch_slot,seed_status,scope,benchmark_id,target_id,target_label,prediction_pdb,native_pdb,prediction_atom_count,native_atom_count,prediction_chain_count,native_chain_count,native_authority_ref,native_replacement_status,native_replacement_source_pdb,source_kind,collision_status,blockers,next_action
1,1,operator_clearance_required,monomer,hist_seed_bba5,HIST_BBA5,bba5,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/01_hist_bba5/native_candidate_1T8J.pdb,92,363,1,1,rcsb:1T8J;doi:10.2210/pdb1t8j/pdb,applied_candidate_path,data/public_structures/2026-02-15/bba5_pdb_1T8J.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
2,2,operator_clearance_required,monomer,hist_seed_chignolin,HIST_CHIGNOLIN,chignolin,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/02_hist_chignolin/native_candidate_1UAO.pdb,40,2484,1,1,rcsb:1UAO;doi:10.2210/pdb1uao/pdb,applied_candidate_path,data/public_structures/2026-02-15/chignolin_pdb_1UAO.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
3,3,operator_clearance_required,monomer,hist_seed_crambin,HIST_CRAMBIN,crambin,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/03_hist_crambin/native_candidate_1CRN.pdb,184,327,1,1,rcsb:1CRN;doi:10.2210/pdb1crn/pdb,applied_candidate_path,data/public_structures/2026-02-15/crambin_pdb_1CRN.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
4,4,operator_clearance_required,monomer,hist_seed_fsd_1,HIST_FSD_1,fsd_1,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/04_hist_fsd_1/native_candidate_1FSD.pdb,112,20664,1,1,rcsb:1FSD;doi:10.2210/pdb1fsd/pdb,applied_candidate_path,data/public_structures/2026-02-15/fsd_1_pdb_1FSD.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
5,5,operator_clearance_required,monomer,hist_seed_gb1_mini,HIST_GB1_MINI,gb1_mini,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/05_hist_gb1_mini/native_candidate_2GB1.pdb,224,855,1,1,rcsb:2GB1;doi:10.2210/pdb2gb1/pdb,applied_candidate_path,data/public_structures/2026-02-15/gb1_mini_pdb_2GB1.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
6,6,operator_clearance_required,monomer,hist_seed_protein_a_bdomain,HIST_PROTEIN_A_BDOMAIN,protein_a_bdomain,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/06_hist_protein_a_bdomain/native_candidate_1BDD.pdb,240,941,1,1,rcsb:1BDD;doi:10.2210/pdb1bdd/pdb,applied_candidate_path,data/public_structures/2026-02-15/protein_a_bdomain_pdb_1BDD.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
7,7,operator_clearance_required,monomer,hist_seed_trp_cage,HIST_TRP_CAGE,trp_cage,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/07_hist_trp_cage/native_candidate_1L2Y.pdb,80,11552,1,1,rcsb:1L2Y;doi:10.2210/pdb1l2y/pdb,applied_candidate_path,data/public_structures/2026-02-15/trp_cage_pdb_1L2Y.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
8,8,operator_clearance_required,monomer,hist_seed_ubiquitin_mini,HIST_UBIQUITIN_MINI,ubiquitin_mini,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/08_hist_ubiquitin_mini/native_candidate_1UBQ.pdb,304,602,1,1,rcsb:1UBQ;doi:10.2210/pdb1ubq/pdb,applied_candidate_path,data/public_structures/2026-02-15/ubiquitin_mini_pdb_1UBQ.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
9,9,operator_clearance_required,monomer,hist_seed_villin_hp35,HIST_VILLIN_HP35,villin_hp35,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/09_hist_villin_hp35/native_candidate_1YRF.pdb,140,639,1,1,rcsb:1YRF;doi:10.2210/pdb1yrf/pdb,applied_candidate_path,data/public_structures/2026-02-15/villin_hp35_pdb_1YRF.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
10,10,operator_clearance_required,monomer,hist_seed_ww_domain_fip35,HIST_WW_DOMAIN_FIP35,ww_domain_fip35,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,casp17/historical_seed_native_replacement_candidates/10_hist_ww_domain_fip35/native_candidate_2F21.pdb,140,1216,1,1,rcsb:2F21;doi:10.2210/pdb2f21/pdb,applied_candidate_path,data/public_structures/2026-02-15/ww_domain_fip35_pdb_2F21.pdb,paired_native_internal_prediction,no_current_target_id_or_name_collision_detected,"no_leak_provenance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,calibration_values_required,ablation_layers_required","operator must verify no-leak provenance, chronology, calibration values, and ablation files before promotion"
