field_order,field_key,fill_kind,operator_status,required_evidence_kind,required_operator_value_format,accepted_evidence_examples,rejected_sources,destination,operator_template_csv,evidence_stub_md,packet_status,blocker,next_action
1,source_id,manifest_value,awaiting_operator_value,internal_source_identifier,internal source id; must not start official_archive/casp_official/massivefold_external,internal run ledger id tied to a pre-native prediction package,official CASP archive; MassiveFold external pool; other-team model id; blank local nickname,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md, then fill operator_value and operator_evidence_ref for source_id"
2,prediction_pdb,file,awaiting_operator_value,pre_native_prediction_pdb,local pre-native prediction PDB path with ATOM/HETATM records,archived internal prediction PDB plus independent creation timestamp evidence,post-native prediction; native PDB; official archive model; file without atom records,,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md, then fill operator_value and operator_evidence_ref for prediction_pdb"
3,prediction_pdb_dropzone,file,awaiting_file_copy,verified_prediction_dropzone_copy,first-slot prediction dropzone PDB copy path,copy of the verified internal prediction PDB into the first-slot dropzone,path exists but differs from verified source; symlink to external pool; empty placeholder,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md, then fill operator_value and operator_evidence_ref for prediction_pdb_dropzone"
4,prediction_created_at,manifest_value,awaiting_operator_value,authoritative_prediction_creation_date,YYYY-MM-DD prediction creation date,immutable job ledger; archived run manifest; signed lab notebook entry,current file mtime only; copied folder date; after-native date,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md, then fill operator_value and operator_evidence_ref for prediction_created_at"
5,native_release_date,manifest_value,awaiting_operator_value,authoritative_native_release_date,YYYY-MM-DD authoritative native release date,RCSB release date; official structure archive release; source publication record,download date; local file mtime; unreferenced memory,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md, then fill operator_value and operator_evidence_ref for native_release_date"
6,prediction_created_at/native_release_date,manifest_value,awaiting_derived_date_order,chronology_comparison,derived: prediction_created_at < native_release_date,explicit date comparison using independently evidenced dates,true without source dates; post-native prediction; current CASP target leakage,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md, then fill operator_value and operator_evidence_ref for prediction_created_at/native_release_date"
7,native_authority_ref,manifest_value,awaiting_operator_value,native_authority_reference,artifact path or URI for authoritative native source,RCSB accession plus release-date evidence; official archive native manifest,unverified local native file; generated reference without authority,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md, then fill operator_value and operator_evidence_ref for native_authority_ref"
8,creation_evidence_ref,manifest_value,awaiting_operator_value,prediction_timestamp_evidence,artifact path or URI for independent prediction timestamp evidence,immutable run manifest; lab notebook; archived CI/job metadata,mtime only; generated markdown after the fact; operator memory only,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md, then fill operator_value and operator_evidence_ref for creation_evidence_ref"
9,no_leak_evidence_ref,manifest_value,awaiting_operator_value,no_leak_provenance_evidence,artifact path or URI for no-leak provenance evidence,run input manifest proving no native/templates/other-team models; negative controls,local filename only; broad assertion; unknown template policy,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md, then fill operator_value and operator_evidence_ref for no_leak_evidence_ref"
10,method_summary,manifest_value,awaiting_operator_value,method_source_summary,short internal prediction method/source summary,"method, inputs, data cutoff, and exclusion policy linked to source evidence",vague one-word method; external-pool rerank without explicit policy,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md,awaiting_operator_evidence,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md, then fill operator_value and operator_evidence_ref for method_summary"
