fill_id,request_index,request_id,candidate_target_id,candidate_scope,request_kind,field_order,field_key,operator_template_csv,operator_value,operator_evidence_ref,operator_notes,value_status,evidence_status,fill_status,first_blocker,next_action
source_request_operator_fill_177,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,1,source_id,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_178,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,2,prediction_pdb,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_179,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,3,prediction_pdb_dropzone,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_not_required,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_180,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,4,prediction_created_at,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_181,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,5,native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_182,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,6,prediction_created_at/native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_not_required,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_183,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,7,native_authority_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_184,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,8,creation_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_185,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,9,no_leak_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_186,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,10,method_summary,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_187,17,source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,11,operator_clearance,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
