field_key,fill_kind,field_status,affected_check_ids,blocked_check_count,pass_check_count,current_value,destination,source_manifest,blockers,next_action
source_id,manifest_value,blocked,source_id_internal,1,0,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,internal_source_id_missing_or_external,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool"
prediction_pdb,file,blocked,"manifest_prediction_pdb_present,manifest_prediction_pdb_exists,prediction_pdb_has_atom_records",3,0,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,"prediction_pdb_missing,prediction_pdb_not_found,prediction_pdb_has_no_atom_records",point prediction_pdb at the verified internal prediction PDB; place the internal prediction PDB at the manifest path; provide a structurally valid PDB with atom records
prediction_pdb_dropzone,file,blocked,dropzone_prediction_pdb_exists,1,0,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,dropzone_prediction_pdb_missing,copy the verified internal prediction PDB into the first-slot prediction dropzone
prediction_created_at,manifest_value,blocked,prediction_created_at_present,1,0,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,prediction_created_at_missing_or_invalid,enter a verifiable prediction creation date before native release
native_release_date,manifest_value,blocked,native_release_date_present,1,0,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,native_release_date_missing_or_invalid,enter the authoritative native public release date
prediction_created_at/native_release_date,manifest_value,blocked,prediction_before_native,1,0,/,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,prediction_not_before_native,use only prediction evidence created before the native structure was public
native_authority_ref,manifest_value,blocked,native_authority_ref_present,1,0,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,native_authority_ref_missing,attach authoritative native source reference
creation_evidence_ref,manifest_value,blocked,creation_evidence_ref_present,1,0,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,creation_evidence_ref_missing,attach independent timestamp evidence for the internal prediction
no_leak_evidence_ref,manifest_value,blocked,no_leak_evidence_ref_present,1,0,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,no_leak_evidence_ref_missing,attach no-leak provenance for the internal prediction source
method_summary,manifest_value,blocked,method_summary_present,1,0,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,method_summary_missing,summarize the internal prediction method and source package
operator_clearance,manifest_value,blocked,operator_clearance_present,1,0,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,operator_clearance_missing,set operator_clearance after reviewing the prediction source and provenance
