row_rank,target_id,benchmark_id,scope,source_chronology_status,lane_decision_status,strict_blind_eligible,retrospective_calibration_review_allowed,competitive_proof_allowed,identity_intake_allowed,sidechain_native_benchmark_allowed,operator_decision_required,decision_folder,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/01_hist_bba5,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/02_hist_chignolin,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
3,HIST_CRAMBIN,hist_seed_crambin,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/03_hist_crambin,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
4,HIST_FSD_1,hist_seed_fsd_1,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/04_hist_fsd_1,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/05_hist_gb1_mini,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/06_hist_protein_a_bdomain,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/07_hist_trp_cage,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/08_hist_ubiquitin_mini,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/09_hist_villin_hp35,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,post_native_prediction_chronology_blocked,retrospective_no_template_review_only,False,True,False,False,False,True,casp17/historical_seed_lane_decision_packet/10_hist_ww_domain_fip35,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,prediction_not_before_authoritative_native_date
11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,operator_authoritative_chronology_evidence_required,strict_blind_replacement_or_authority_required,False,False,False,False,False,True,casp17/historical_seed_lane_decision_packet/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005,attach authoritative native/source chronology or replace with a strict blind eligible seed row,"native_authority_not_pass,authoritative_native_date_missing"
12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,operator_authoritative_chronology_evidence_required,strict_blind_replacement_or_authority_required,False,False,False,False,False,True,casp17/historical_seed_lane_decision_packet/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451,attach authoritative native/source chronology or replace with a strict blind eligible seed row,"native_authority_not_pass,authoritative_native_date_missing"
