row_rank,target_id,benchmark_id,scope,repair_status,repair_csv,selected_prediction_present,native_reference_present,real_ablation_candidate_count,missing_real_ablation_candidate_count,top5_review_decoy_count,top5_selected_copy_count,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/01_hist_bba5/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,ablation_reference_candidate_ready_for_operator_review,casp17/historical_seed_ablation_gap_repair_plan/02_hist_chignolin/ablation_gap_repair_candidates.csv,True,True,1,1,4,1,operator may review real ablation candidate manifest after no-leak provenance clearance,top5_decoys_not_clearance_evidence
3,HIST_CRAMBIN,hist_seed_crambin,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/03_hist_crambin/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
4,HIST_FSD_1,hist_seed_fsd_1,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/04_hist_fsd_1/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/05_hist_gb1_mini/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/06_hist_protein_a_bdomain/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/07_hist_trp_cage/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/08_hist_ubiquitin_mini/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/09_hist_villin_hp35/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/10_hist_ww_domain_fip35/ablation_gap_repair_candidates.csv,True,True,0,2,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,ablation_gap_repair_required,casp17/historical_seed_ablation_gap_repair_plan/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/ablation_gap_repair_candidates.csv,True,True,0,0,4,1,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real_ablation_layer_candidate_missing,top5_decoys_not_clearance_evidence"
