request_index,request_id,candidate_target_id,candidate_scope,request_kind,audit_status,request_batch_folder,request_folder_present,request_readme_present,request_operator_fill_csv_present,expected_field_count,request_operator_fill_csv_rows,request_row_mismatch,request_summary_csv_match,operator_value_missing_count,operator_evidence_missing_count,candidate_replacement_field_count,coordinate_copy_count,proof_marker_count,author_marker_count,blockers,next_action
1,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/01_source_request_001_HIST_BBA5,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
2,source_request_002,HIST_CHIGNOLIN,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/02_source_request_002_HIST_CHIGNOLIN,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
3,source_request_003,HIST_CRAMBIN,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/03_source_request_003_HIST_CRAMBIN,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
4,source_request_004,HIST_FSD_1,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/04_source_request_004_HIST_FSD_1,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
5,source_request_005,HIST_GB1_MINI,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/05_source_request_005_HIST_GB1_MINI,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/06_source_request_006_HIST_PROTEIN_A_BDOMAIN,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
7,source_request_007,HIST_TRP_CAGE,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/07_source_request_007_HIST_TRP_CAGE,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
8,source_request_008,HIST_UBIQUITIN_MINI,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/08_source_request_008_HIST_UBIQUITIN_MINI,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
9,source_request_009,HIST_VILLIN_HP35,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/09_source_request_009_HIST_VILLIN_HP35,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
10,source_request_010,HIST_WW_DOMAIN_FIP35,monomer,pre_native_prediction_source_required,pass,casp17/strict_blind_source_request_operator_fill_batch_kit/10_source_request_010_HIST_WW_DOMAIN_FIP35,1,1,1,11,11,0,1,11,9,0,0,0,0,,fill operator values/evidence refs and rerun source-request fulfillment
