field_order,field_key,required_evidence_kind,required_operator_value_format,template_operator_value,template_operator_evidence_ref,template_operator_clearance,template_operator_id,evidence_stub_md,stub_exists,stub_operator_value,stub_operator_evidence_ref,stub_operator_clearance,stub_operator_id,template_value_status,template_evidence_ref_status,template_clearance_status,template_operator_id_status,stub_status,stub_evidence_status,policy_status,file_status,review_gate_status,first_blocker,next_action
1,source_id,internal_source_identifier,internal source id; must not start official_archive/casp_official/massivefold_external,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for source_id in operator_evidence_template.csv
2,prediction_pdb,pre_native_prediction_pdb,local pre-native prediction PDB path with ATOM/HETATM records,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_path_missing,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for prediction_pdb in operator_evidence_template.csv
3,prediction_pdb_dropzone,verified_prediction_dropzone_copy,first-slot prediction dropzone PDB copy path,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_path_missing,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for prediction_pdb_dropzone in operator_evidence_template.csv
4,prediction_created_at,authoritative_prediction_creation_date,YYYY-MM-DD prediction creation date,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for prediction_created_at in operator_evidence_template.csv
5,native_release_date,authoritative_native_release_date,YYYY-MM-DD authoritative native release date,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for native_release_date in operator_evidence_template.csv
6,prediction_created_at/native_release_date,chronology_comparison,derived: prediction_created_at < native_release_date,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for prediction_created_at/native_release_date in operator_evidence_template.csv
7,native_authority_ref,native_authority_reference,artifact path or URI for authoritative native source,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for native_authority_ref in operator_evidence_template.csv
8,creation_evidence_ref,prediction_timestamp_evidence,artifact path or URI for independent prediction timestamp evidence,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for creation_evidence_ref in operator_evidence_template.csv
9,no_leak_evidence_ref,no_leak_provenance_evidence,artifact path or URI for no-leak provenance evidence,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for no_leak_evidence_ref in operator_evidence_template.csv
10,method_summary,method_source_summary,short internal prediction method/source summary,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md,true,,,,,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,awaiting_operator_evidence,template_operator_value_missing,fill operator_value for method_summary in operator_evidence_template.csv
