row_rank,target_id,benchmark_id,scope,score_status,score_candidate_csv,candidate_count,scored_candidate_count,selected_score_candidate,best_internal_score_candidate,top5_scored_ready,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/01_hist_bba5/score_candidates.csv,5,5,0.385,0.385,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/02_hist_chignolin/score_candidates.csv,6,6,0.363,0.363,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
3,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/03_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/score_candidates.csv,5,5,0.100,0.100,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
4,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/04_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/score_candidates.csv,5,5,0.100,0.100,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
5,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,complex,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/05_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/score_candidates.csv,5,5,0.100,0.100,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
6,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/06_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/score_candidates.csv,5,5,0.100,0.100,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
7,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,complex,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/07_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/score_candidates.csv,5,5,0.100,0.100,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
8,HIST_CRAMBIN,hist_seed_crambin,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/08_hist_crambin/score_candidates.csv,5,5,0.487,0.487,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
9,HIST_FSD_1,hist_seed_fsd_1,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/09_hist_fsd_1/score_candidates.csv,5,5,0.386,0.386,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
10,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/10_hist_gb1_mini/score_candidates.csv,5,5,0.380,0.380,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
11,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/11_hist_protein_a_bdomain/score_candidates.csv,5,5,0.428,0.428,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
12,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/12_hist_trp_cage/score_candidates.csv,5,5,0.414,0.414,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
13,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/13_hist_ubiquitin_mini/score_candidates.csv,5,5,0.473,0.473,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
14,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/14_hist_villin_hp35/score_candidates.csv,5,5,0.457,0.457,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
15,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,internal_score_candidates_ready_for_review,casp17/historical_seed_internal_score_candidates/15_hist_ww_domain_fip35/score_candidates.csv,5,5,0.382,0.382,True,"feed internal scores into calibration ledger, then attach native oracle metrics",
