action_id,target_id,repair_class,blocker,action_status,feasibility_status,feasibility_reason,prediction_created_at,native_release_date,current_prediction_before_native,next_route,required_operator_input
first_slot_repair_001,HIST_BBA5,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,2004-05-13,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_002,HIST_CHIGNOLIN,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,2003-03-13,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_003,HIST_CRAMBIN,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,1981-04-30,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_004,HIST_FSD_1,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,1997-06-09,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_005,HIST_GB1_MINI,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,1991-05-15,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_006,HIST_PROTEIN_A_BDOMAIN,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,1996-06-28,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_007,HIST_TRP_CAGE,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,2002-02-25,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_008,HIST_UBIQUITIN_MINI,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,1987-01-02,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_009,HIST_VILLIN_HP35,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,2005-02-03,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
first_slot_repair_010,HIST_WW_DOMAIN_FIP35,chronology,prediction_not_before_native,open_repair_action,not_repairable_with_current_prediction,current prediction artifact is dated on or after authoritative native release,2026-02-19,2005-11-15,False,source_external_pre_native_prediction_or_replace_candidate,pre-native prediction artifact with independent timestamp and no-leak provenance
