action_id,queue_rank,required_benchmark_id,field_name,required_policy,action_status,gate_status,operator_value_present,evidence_ref_present,operator_clearance_present,operator_values_csv,destination_intake_csv,blockers,verify_command,next_action
strict_blind_operator_001,1,hist_REQUIRED_MONOMER_001,replacement_target_id,operator_supplied_non_placeholder,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for replacement_target_id in replacement_operator_values.csv
strict_blind_operator_002,1,hist_REQUIRED_MONOMER_001,replacement_benchmark_id,operator_supplied_non_placeholder,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for replacement_benchmark_id in replacement_operator_values.csv
strict_blind_operator_003,1,hist_REQUIRED_MONOMER_001,target_identity_non_current_historical,operator_confirmed_true,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for target_identity_non_current_historical in replacement_operator_values.csv
strict_blind_operator_004,1,hist_REQUIRED_MONOMER_001,prediction_created_at,authoritative_iso_date,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for prediction_created_at in replacement_operator_values.csv
strict_blind_operator_005,1,hist_REQUIRED_MONOMER_001,native_release_date,authoritative_iso_date,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for native_release_date in replacement_operator_values.csv
strict_blind_operator_006,1,hist_REQUIRED_MONOMER_001,prediction_generated_before_native_release,operator_confirmed_true,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for prediction_generated_before_native_release in replacement_operator_values.csv
strict_blind_operator_007,1,hist_REQUIRED_MONOMER_001,public_template_or_native_used_for_prediction,operator_confirmed_false,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for public_template_or_native_used_for_prediction in replacement_operator_values.csv
strict_blind_operator_008,1,hist_REQUIRED_MONOMER_001,other_team_model_used,operator_confirmed_false,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for other_team_model_used in replacement_operator_values.csv
strict_blind_operator_009,1,hist_REQUIRED_MONOMER_001,post_release_information_used,operator_confirmed_false,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for post_release_information_used in replacement_operator_values.csv
strict_blind_operator_010,1,hist_REQUIRED_MONOMER_001,operator_clearance,operator_cleared,open_operator_value,awaiting_operator_value,false,false,false,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,"operator_value_required,evidence_ref_required,operator_clearance_required",python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for operator_clearance in replacement_operator_values.csv
