patch_id,patch_kind,manifest_column,source_field_key,current_value,proposed_value,destination,patch_status,blockers,next_action
source_gate_patch_001,manifest_value,source_id,source_id,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_value,source_id_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
source_gate_patch_002,manifest_value,prediction_pdb,prediction_pdb,,,,awaiting_operator_value,prediction_pdb_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
source_gate_patch_003,file_copy,prediction_pdb,prediction_pdb_dropzone,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,awaiting_file_copy,dropzone_prediction_pdb_missing,copy verified prediction PDB into first-slot prediction dropzone
source_gate_patch_004,manifest_value,prediction_created_at,prediction_created_at,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_value,prediction_created_at_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
source_gate_patch_005,manifest_value,native_release_date,native_release_date,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_value,native_release_date_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
source_gate_patch_006,derived_check,prediction_before_native,prediction_created_at/native_release_date,/,/,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_date_order,prediction_not_before_native_or_dates_missing,verify prediction_created_at is before native_release_date
source_gate_patch_007,manifest_value,native_authority_ref,native_authority_ref,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_value,native_authority_ref_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
source_gate_patch_008,manifest_value,creation_evidence_ref,creation_evidence_ref,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_value,creation_evidence_ref_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
source_gate_patch_009,manifest_value,no_leak_evidence_ref,no_leak_evidence_ref,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_value,no_leak_evidence_ref_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
source_gate_patch_010,manifest_value,method_summary,method_summary,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_value,method_summary_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
source_gate_patch_011,manifest_value,operator_clearance,operator_clearance,,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_value,operator_clearance_operator_value_missing,review and apply to internal_prediction_source_manifest_template.csv
