row_rank,target_id,benchmark_id,chronology_status,prediction_created_at,native_release_date,prediction_generated_before_native_release,prediction_path_date,prediction_file_mtime_date,native_file_mtime_date,path_date_present,file_mtime_present,file_mtime_prediction_before_native,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
2,HIST_CHIGNOLIN,hist_seed_chignolin,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
3,HIST_CRAMBIN,hist_seed_crambin,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
4,HIST_FSD_1,hist_seed_fsd_1,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
5,HIST_GB1_MINI,hist_seed_gb1_mini,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
7,HIST_TRP_CAGE,hist_seed_trp_cage,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,operator_evidence_required,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,2026-02-19,2026-02-20,2026-02-12,True,True,False,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","prediction_created_at_requires_operator_evidence,native_release_date_requires_operator_evidence,prediction_generated_before_native_release_requires_operator_evidence,file_mtime_not_before_native_mtime"
