row_rank,target_id,benchmark_id,scope,repair_status,repair_csv,field_count,operator_required_field_count,weak_local_candidate_field_count,authoritative_candidate_field_count,chronology_field_count,negative_control_field_count,clearance_field_count,mtime_risk,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/01_hist_bba5/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/02_hist_chignolin/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
3,HIST_CRAMBIN,hist_seed_crambin,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/03_hist_crambin/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
4,HIST_FSD_1,hist_seed_fsd_1,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/04_hist_fsd_1/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/05_hist_gb1_mini/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/06_hist_protein_a_bdomain/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/07_hist_trp_cage/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/08_hist_ubiquitin_mini/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/09_hist_villin_hp35/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/10_hist_ww_domain_fip35/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,complex,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
14,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
15,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,complex,no_leak_gap_repair_required,casp17/historical_seed_no_leak_gap_repair_plan/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/no_leak_gap_repair_fields.csv,10,10,2,0,3,3,4,True,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","operator_no_leak_evidence_required,mtime_not_clearance_authority"
