dropzone_id,operator_priority,row_rank,scope,row_execution_status,identity_status,identity_blockers,proposed_target_id,file_action_count,file_waiting_on_identity_count,file_awaiting_source_path_count,file_ready_for_import_count,file_already_imported_count,file_blocked_count,value_action_count,value_waiting_on_identity_count,value_ready_from_identity_kit_count,value_awaiting_value_count,value_awaiting_clearance_count,value_awaiting_ref_count,value_ready_for_import_count,value_blocked_count,ready_action_count,blocked_action_count,next_action,claim_boundary
priority_001_REQUIRED_MONOMER_001,1,1,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_002_REQUIRED_MONOMER_002,2,2,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_003_REQUIRED_MONOMER_003,3,3,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_004_REQUIRED_MONOMER_004,4,4,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_005_REQUIRED_MONOMER_005,5,5,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_006_REQUIRED_MONOMER_006,6,6,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_007_REQUIRED_MONOMER_007,7,7,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_008_REQUIRED_MONOMER_008,8,8,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_009_REQUIRED_MONOMER_009,9,9,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
priority_010_REQUIRED_MONOMER_010,10,10,monomer,awaiting_identity,awaiting_identity,"proposed_benchmark_id_required,proposed_target_id_required,evidence_ref_required,operator_clearance_required",,12,12,0,0,0,0,18,18,0,0,0,0,0,0,0,30,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance","Local competitive-floor execution board only. It aggregates existing identity, file-source, and value-entry plans into row-level next actions. It does not choose targets, clear no-leak provenance, fetch native structures, score native accuracy, run predictors, mutate row_fill.csv, apply imports, or submit to CASP."
