overlay_rank,overlay_status,target_group,target_id,target_family,current_ledger_decision,freeze_decision_class,model1_freeze_state,overlay_decision,overlay_action,overlay_reason,selected_model_filename,model1_filename,probe_result,probe_margin,confidence_gap,top5_score_spread,mean_diversity_to_model1_rmsd,max_geometry_outlier_score,max_low_conf_atom_fraction,min_nearest_top5_rmsd,risk_tier,risk_band,risk_score,low_margin,baseline_capture_rate,baseline_non_capture_rate,review_md,blockers,external_only_policy,internal_prediction_policy,submission_policy,claim_boundary,rule_id
1,ready_external_no_native_selector_overlay,rna_hybrid,R2352,,external_model1_blocked_manual_review,manual_review_blocked,freeze_blocked_external_only,selector_blocked_manual_review,do_not_freeze_model1_external_only,existing probe displaced model1 or freeze ledger is manual-review blocked,,Model_15_af3_woUnpaired_af3_seed_20656_sample_1_pred_611.cif,probe_fail_model1_displaced,-0.23587,0.07092,0.14128,29.4805,2.326,0.02654,11.101,critical_model1_margin,critical_watch_with_targeted_probe,30.586,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/01_rna_hybrid_r2352/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
2,ready_external_no_native_selector_overlay,protein_complex,H2312,heteromer_or_immune_complex,external_model1_selected_watch,watch_freeze_ready,freeze_allowed_external_only_watch,selector_hold_interface_review,keep_model1_hold_until_interface_review,protein/complex model1 retained but probe margin or watch class is too weak for freeze,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,probe_pass_model1_retained,0.10755,0.0813,1.18232,18.18725,3.127,0.00739,2.787,critical_model1_margin,critical_watch_with_targeted_probe,48.165,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/02_protein_complex_h2312/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
3,ready_external_no_native_selector_overlay,protein_complex,H1311,heteromer_or_immune_complex,external_model1_review_only_unfrozen,review_only_unfrozen,model1_unfrozen_external_review_only,selector_probe_required,run_targeted_no_native_probe_before_freeze,"review-only target has low-margin, diversity, geometry, or low-confidence risk",Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,,,0.3313,2.55002,31.10125,3.597,0.01527,2.431,high_model1_margin,,,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/03_protein_complex_h1311/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
4,ready_external_no_native_selector_overlay,protein_complex,H2319,heteromer_or_immune_complex,external_model1_review_only_unfrozen,review_only_unfrozen,model1_unfrozen_external_review_only,selector_probe_required,run_targeted_no_native_probe_before_freeze,"review-only target has low-margin, diversity, geometry, or low-confidence risk",Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,,,0.56512,4.04092,43.949,2.569,0.01341,23.482,high_model1_margin,,,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/04_protein_complex_h2319/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
5,ready_external_no_native_selector_overlay,protein_complex,H2321,heteromer_or_immune_complex,external_model1_review_only_unfrozen,review_only_unfrozen,model1_unfrozen_external_review_only,selector_probe_required,run_targeted_no_native_probe_before_freeze,"review-only target has low-margin, diversity, geometry, or low-confidence risk",Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,,,0.66878,3.56518,39.6285,3.608,0.01623,30.788,high_model1_margin,,,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/05_protein_complex_h2321/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
6,ready_external_no_native_selector_overlay,protein_complex,H2324,heteromer_or_immune_complex,external_model1_review_only_unfrozen,review_only_unfrozen,model1_unfrozen_external_review_only,selector_probe_required,run_targeted_no_native_probe_before_freeze,"review-only target has low-margin, diversity, geometry, or low-confidence risk",Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,,,0.17602,0.57566,57.6945,1.66,0.03683,33.417,high_model1_margin,,,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/06_protein_complex_h2324/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
7,ready_external_no_native_selector_overlay,protein_complex,H2335,heteromer_or_immune_complex,external_model1_review_only_unfrozen,review_only_unfrozen,model1_unfrozen_external_review_only,selector_probe_required,run_targeted_no_native_probe_before_freeze,"review-only target has low-margin, diversity, geometry, or low-confidence risk",Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,,,1.11502,1.6303,57.9835,6.857,0.07161,21.59,high_model1_margin,,,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/07_protein_complex_h2335/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
8,ready_external_no_native_selector_overlay,protein_complex,H2338,heteromer_or_immune_complex,external_model1_review_only_unfrozen,review_only_unfrozen,model1_unfrozen_external_review_only,selector_probe_required,run_targeted_no_native_probe_before_freeze,"review-only target has low-margin, diversity, geometry, or low-confidence risk",Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,,,0.45224,1.77912,47.523,9.003,0.01094,15.056,high_model1_margin,,,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/08_protein_complex_h2338/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
9,ready_external_no_native_selector_overlay,protein_complex,H2339,heteromer_or_immune_complex,external_model1_review_only_unfrozen,review_only_unfrozen,model1_unfrozen_external_review_only,selector_probe_required,run_targeted_no_native_probe_before_freeze,"review-only target has low-margin, diversity, geometry, or low-confidence risk",Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,,,0.74694,2.39072,52.00175,3.881,0.01196,36.62,high_model1_margin,,,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/09_protein_complex_h2339/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
10,ready_external_no_native_selector_overlay,rna_hybrid,R2341,,external_model1_review_only_unfrozen,review_only_unfrozen,model1_unfrozen_external_review_only,selector_probe_required,run_targeted_no_native_probe_before_freeze,"review-only target has low-margin, diversity, geometry, or low-confidence risk",Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,,,0.10906,1.07352,53.2865,7.694,0.42441,24.18,high_model1_margin,,,True,0.500,0.500,casp17/massivefold_model1_combined_selector_overlay/10_rna_hybrid_r2341/SELECTOR_OVERLAY.md,,external_no_native_massivefold_model1_selector_overlay_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model1 combined selector overlay only. It applies a baseline-calibrated no-native model-selection policy to external MassiveFold model1/top5 ledgers. It is not native accuracy, internal prediction proof, a CASP submission, or permission to submit without operator approval.",baseline_calibrated_no_native_massivefold_selector_overlay_v1
