action_rank,evidence_class,template_column,blocker,drop_path,operator_note,ready_check
121,target_identity,benchmark_id,benchmark_id_placeholder,,replace benchmark_id in row_fill.csv after choosing a cleared historical target,row_fill_value_updated
122,target_identity,target_id,target_id_placeholder,,replace target_id in row_fill.csv after choosing a cleared historical target,row_fill_value_updated
123,core_file,prediction_pdb,prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/core/<HISTORICAL_TARGET_ID>_prediction.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/core/<HISTORICAL_TARGET_ID>_prediction.pdb, then update prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
124,core_file,native_pdb,native_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/core/<HISTORICAL_TARGET_ID>_native.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/core/<HISTORICAL_TARGET_ID>_native.pdb, then update native_pdb in row_fill.csv",file_present_and_row_fill_updated
125,provenance,leakage_clearance,leakage_clearance_requires_no_leak_clearance,,record leakage_clearance only after no-leak provenance evidence supports it,row_fill_value_updated
126,provenance,prediction_method,prediction_method_required,,record prediction_method only after no-leak provenance evidence supports it,row_fill_value_updated
127,provenance,prediction_created_at,prediction_created_at_requires_iso_date,,record prediction_created_at only after no-leak provenance evidence supports it,row_fill_value_updated
128,provenance,native_release_date,native_release_date_requires_iso_date,,record native_release_date only after no-leak provenance evidence supports it,row_fill_value_updated
129,provenance,prediction_generated_before_native_release,prediction_before_native_release_confirmation_required,,record prediction_generated_before_native_release only after no-leak provenance evidence supports it,row_fill_value_updated
130,provenance,public_template_or_native_used_for_prediction,public_template_or_native_used_for_prediction_must_be_false,,record public_template_or_native_used_for_prediction only after no-leak provenance evidence supports it,row_fill_value_updated
131,provenance,other_team_model_used,other_team_model_used_must_be_false,,record other_team_model_used only after no-leak provenance evidence supports it,row_fill_value_updated
132,provenance,post_release_information_used,post_release_information_used_must_be_false,,record post_release_information_used only after no-leak provenance evidence supports it,row_fill_value_updated
133,provenance,current_casp17_target,current_casp17_target_must_be_false,,record current_casp17_target only after no-leak provenance evidence supports it,row_fill_value_updated
134,provenance,operator_clearance,operator_clearance_requires_no_leak_clearance,,record operator_clearance only after no-leak provenance evidence supports it,row_fill_value_updated
135,ablation_file,recursive_prediction_pdb,recursive_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/recursive/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/recursive/<HISTORICAL_TARGET_ID>TS.pdb, then update recursive_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
136,ablation_file,scored_prediction_pdb,scored_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/scored/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/scored/<HISTORICAL_TARGET_ID>TS.pdb, then update scored_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
137,ablation_file,sidechain_scaffold_prediction_pdb,sidechain_scaffold_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/sidechain_scaffold/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/sidechain_scaffold/<HISTORICAL_TARGET_ID>TS.pdb, then update sidechain_scaffold_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
138,ablation_file,sidechain_repacked_prediction_pdb,sidechain_repacked_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/sidechain_repacked/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/sidechain_repacked/<HISTORICAL_TARGET_ID>TS.pdb, then update sidechain_repacked_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
139,ablation_file,sidechain_completed_prediction_pdb,sidechain_completed_prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/sidechain_completed/<HISTORICAL_TARGET_ID>TS.pdb,"place validated local PDB in casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/evidence_dropzone/files/ablation/sidechain_completed/<HISTORICAL_TARGET_ID>TS.pdb, then update sidechain_completed_prediction_pdb in row_fill.csv",file_present_and_row_fill_updated
