candidate_rank,candidate_id,target_id,ligand_id,field_order,field_key,evidence_request_kind,required_operator_value_format,template_operator_value,template_operator_evidence_ref,template_operator_clearance,template_operator_id,evidence_stub_md,stub_exists,stub_operator_value,stub_operator_evidence_ref,stub_operator_clearance,stub_operator_id,template_value_status,template_evidence_ref_status,template_clearance_status,template_operator_id_status,stub_status,stub_evidence_status,policy_status,review_gate_status,first_blocker,next_action,operator_template_csv,linked_action_md
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,1,direct_native_or_source_authority,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",,,,,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/direct_native_or_source_authority.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for direct_native_or_source_authority in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/002_direct_native_or_source_authority/ACTION.md
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,2,no_leak_provenance,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,,,,,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/no_leak_provenance.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for no_leak_provenance in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/003_no_leak_provenance/ACTION.md
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,3,prediction_chronology,prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",,,,,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/prediction_chronology.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for prediction_chronology in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/004_prediction_chronology/ACTION.md
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,4,ligand_pose_reference,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,,,,,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/ligand_pose_reference.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for ligand_pose_reference in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/005_ligand_pose_reference/ACTION.md
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,5,strict_blind_slot_mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",,,,,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/strict_blind_slot_mapping.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for strict_blind_slot_mapping in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/009_strict_blind_slot_mapping/ACTION.md
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,1,direct_native_or_source_authority,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",,,,,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/direct_native_or_source_authority.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for direct_native_or_source_authority in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/011_direct_native_or_source_authority/ACTION.md
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,2,no_leak_provenance,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,,,,,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/no_leak_provenance.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for no_leak_provenance in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/012_no_leak_provenance/ACTION.md
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,3,prediction_chronology,prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",,,,,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/prediction_chronology.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for prediction_chronology in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/013_prediction_chronology/ACTION.md
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,4,ligand_pose_reference,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,,,,,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/ligand_pose_reference.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for ligand_pose_reference in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/014_ligand_pose_reference/ACTION.md
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,5,strict_blind_slot_mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",,,,,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/strict_blind_slot_mapping.md,True,,,,,template_operator_value_missing,template_operator_evidence_ref_missing,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,blocked,template_operator_value_missing,fill operator_value for strict_blind_slot_mapping in operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/018_strict_blind_slot_mapping/ACTION.md
