action_id,queue_rank,required_benchmark_id,required_target_id,scope,field_name,evidence_class,action_status,source_status,source_path,expected_filename,dropzone_folder,patch_preview_csv,quality_status,quality_blocker,verify_command,next_action
strict_blind_evidence_001,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,prediction_pdb,prediction,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,replacement_prediction.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place prediction_pdb evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb
strict_blind_evidence_002,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,native_pdb,native,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/native/replacement_native.pdb,replacement_native.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place native_pdb evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/native/replacement_native.pdb
strict_blind_evidence_003,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,native_authority_ref,authority,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/authority/native_authority.md,native_authority.md,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place native_authority_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/authority/native_authority.md
strict_blind_evidence_004,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,no_leak_evidence_ref,no_leak,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/no_leak/no_leak_evidence.md,no_leak_evidence.md,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place no_leak_evidence_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/no_leak/no_leak_evidence.md
strict_blind_evidence_005,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_manifest_ref,ablation,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/ablation/ablation_manifest.json,ablation_manifest.json,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place ablation_manifest_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/ablation/ablation_manifest.json
strict_blind_evidence_006,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration_values_ref,calibration,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/calibration/calibration_values.json,calibration_values.json,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place calibration_values_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/calibration/calibration_values.json
strict_blind_evidence_007,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,prediction_pdb,prediction,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/prediction/replacement_prediction.pdb,replacement_prediction.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place prediction_pdb evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/prediction/replacement_prediction.pdb
strict_blind_evidence_008,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,native_pdb,native,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/native/replacement_native.pdb,replacement_native.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place native_pdb evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/native/replacement_native.pdb
strict_blind_evidence_009,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,native_authority_ref,authority,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/authority/native_authority.md,native_authority.md,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place native_authority_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/authority/native_authority.md
strict_blind_evidence_010,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,no_leak_evidence_ref,no_leak,open_missing_file,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/no_leak/no_leak_evidence.md,no_leak_evidence.md,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/replacement_intake_patch_preview.csv,awaiting_evidence_files,file_missing,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place no_leak_evidence_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/02_hist_required_monomer_002/no_leak/no_leak_evidence.md
