fill_id,candidate_rank,candidate_id,target_id,ligand_id,field_order,field_key,required_operator_value_format,source_operator_template_csv,source_evidence_stub_md,linked_action_md,operator_value,operator_evidence_ref,operator_clearance,operator_id,value_status,evidence_ref_status,clearance_status,operator_id_status,fill_status,first_blocker,next_action
organic_ligand_metric_operator_fill_001,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,1,direct_native_or_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/direct_native_or_source_authority.md,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/002_direct_native_or_source_authority/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for direct_native_or_source_authority in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv
organic_ligand_metric_operator_fill_002,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,2,no_leak_provenance,path or URI to no-leak dossier plus negative controls,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/no_leak_provenance.md,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/003_no_leak_provenance/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for no_leak_provenance in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv
organic_ligand_metric_operator_fill_003,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,3,prediction_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/prediction_chronology.md,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/004_prediction_chronology/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_chronology in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv
organic_ligand_metric_operator_fill_004,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,4,ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/ligand_pose_reference.md,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/005_ligand_pose_reference/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for ligand_pose_reference in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv
organic_ligand_metric_operator_fill_005,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,5,strict_blind_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/strict_blind_slot_mapping.md,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/009_strict_blind_slot_mapping/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for strict_blind_slot_mapping in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv
organic_ligand_metric_operator_fill_006,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,1,direct_native_or_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/direct_native_or_source_authority.md,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/011_direct_native_or_source_authority/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for direct_native_or_source_authority in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv
organic_ligand_metric_operator_fill_007,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,2,no_leak_provenance,path or URI to no-leak dossier plus negative controls,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/no_leak_provenance.md,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/012_no_leak_provenance/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for no_leak_provenance in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv
organic_ligand_metric_operator_fill_008,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,3,prediction_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/prediction_chronology.md,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/013_prediction_chronology/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_chronology in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv
organic_ligand_metric_operator_fill_009,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,4,ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/ligand_pose_reference.md,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/014_ligand_pose_reference/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for ligand_pose_reference in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv
organic_ligand_metric_operator_fill_010,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,5,strict_blind_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/strict_blind_slot_mapping.md,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/018_strict_blind_slot_mapping/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for strict_blind_slot_mapping in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv
organic_ligand_metric_operator_fill_011,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,1,direct_native_or_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/direct_native_or_source_authority.md,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/020_direct_native_or_source_authority/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for direct_native_or_source_authority in casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv
organic_ligand_metric_operator_fill_012,3,organic_ligand_slot_candidate_003,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,tcruzi_pde_external_pdeb1_025_chembl4441871,2,no_leak_provenance,path or URI to no-leak dossier plus negative controls,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/field_evidence/no_leak_provenance.md,casp17/organic_ligand_slot_promotion_action_board/03_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/021_no_leak_provenance/ACTION.md,,,,,operator_value_missing,operator_evidence_ref_missing,operator_clearance_missing,operator_id_missing,awaiting_operator_value,operator_value_missing,fill operator_value for no_leak_provenance in casp17/organic_ligand_metric_evidence_intake/03_tcruzi_pde_external_pdeb1_025_chembl4441871/operator_evidence_template.csv
