action_rank,target_id,lane,action_status,target_bundle_folder,action_folder,action_md,request_md,source_artifact,required_field,blockers,recommended_action,unlocks,verification_command
1,H1319,native_dropzone,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_001_native_dropzone,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_001_native_dropzone/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_001_native_dropzone/native_dropzone_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/native/H1319_native.pdb,native_pdb,"native_pdb_missing,manifest_native_pdb_not_found",Place an operator-cleared native protein PDB in the native dropzone; ensure it is distinct from the prediction and has valid ATOM coordinates.,"native_valid_count,native_prediction_distinct_count,manifest_native_pdb",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
2,H1319,no_leak_evidence,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_002_no_leak_evidence,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_002_no_leak_evidence/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_002_no_leak_evidence/evidence_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/provenance_template.csv,evidence_ref,"evidence_ref_required,identity_discovery_no_leak_clearance_required","Create a local evidence file that names the target and no-leak review, then write that path into the provenance template evidence_ref field.","evidence_ref_verified_count,identity_discovery_cleared_count",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
3,H1319,provenance_fields,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_003_provenance_fields,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_003_provenance_fields/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_003_provenance_fields/provenance_fill_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/provenance_template.csv,provenance_template_required_fields,"operator_required,leakage_clearance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false","Fill no-leak/operator clearance, prediction/native dates, and all true/false provenance confirmations in the provenance template.","provenance_ready_count,manifest_sync_ready_to_sync_count",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
4,H1319,manifest_stub_sync,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_004_manifest_stub_sync,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_004_manifest_stub_sync/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/action_004_manifest_stub_sync/manifest_sync_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H1319_Human_astrovirus_VA1_capsid_spike_-_antibody_7C8_complex/manifest_stub.csv,manifest_stub_fields,"manifest_leakage_clearance_required,manifest_prediction_created_at_required,manifest_native_release_date_required,manifest_prediction_generated_before_native_release_required,manifest_public_template_or_native_used_for_prediction_required,manifest_other_team_model_used_required,manifest_post_release_information_used_required,manifest_current_casp17_target_required,manifest_operator_clearance_required","After provenance is ready, sync the cleared provenance fields into the manifest stub and rerun the clearance cycle.","manifest_stub_ready_count,manifest_provenance_matched_count,promotion_plan",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
5,H1321,native_dropzone,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_005_native_dropzone,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_005_native_dropzone/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_005_native_dropzone/native_dropzone_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/native/H1321_native.pdb,native_pdb,"native_pdb_missing,manifest_native_pdb_not_found",Place an operator-cleared native protein PDB in the native dropzone; ensure it is distinct from the prediction and has valid ATOM coordinates.,"native_valid_count,native_prediction_distinct_count,manifest_native_pdb",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
6,H1321,no_leak_evidence,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_006_no_leak_evidence,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_006_no_leak_evidence/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_006_no_leak_evidence/evidence_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/provenance_template.csv,evidence_ref,"evidence_ref_required,identity_discovery_no_leak_clearance_required","Create a local evidence file that names the target and no-leak review, then write that path into the provenance template evidence_ref field.","evidence_ref_verified_count,identity_discovery_cleared_count",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
7,H1321,provenance_fields,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_007_provenance_fields,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_007_provenance_fields/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_007_provenance_fields/provenance_fill_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/provenance_template.csv,provenance_template_required_fields,"operator_required,leakage_clearance_required,operator_clearance_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,current_casp17_target_must_be_false","Fill no-leak/operator clearance, prediction/native dates, and all true/false provenance confirmations in the provenance template.","provenance_ready_count,manifest_sync_ready_to_sync_count",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
8,H1321,manifest_stub_sync,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_008_manifest_stub_sync,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_008_manifest_stub_sync/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/action_008_manifest_stub_sync/manifest_sync_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H1321_Human_astrovirus_VA1_capsid_spike_-_antibody_2A2_complex/manifest_stub.csv,manifest_stub_fields,"manifest_leakage_clearance_required,manifest_prediction_created_at_required,manifest_native_release_date_required,manifest_prediction_generated_before_native_release_required,manifest_public_template_or_native_used_for_prediction_required,manifest_other_team_model_used_required,manifest_post_release_information_used_required,manifest_current_casp17_target_required,manifest_operator_clearance_required","After provenance is ready, sync the cleared provenance fields into the manifest stub and rerun the clearance cycle.","manifest_stub_ready_count,manifest_provenance_matched_count,promotion_plan",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
9,H2324,native_dropzone,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H2324_T_Cell_Receptor_N17.2_complex_5_chains,casp17/competitive_floor_target_identity_clearance_action_bundle/H2324_T_Cell_Receptor_N17.2_complex_5_chains/action_009_native_dropzone,casp17/competitive_floor_target_identity_clearance_action_bundle/H2324_T_Cell_Receptor_N17.2_complex_5_chains/action_009_native_dropzone/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H2324_T_Cell_Receptor_N17.2_complex_5_chains/action_009_native_dropzone/native_dropzone_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H2324_T_Cell_Receptor_N17.2_complex_5_chains/native/H2324_native.pdb,native_pdb,"native_pdb_missing,manifest_native_pdb_not_found",Place an operator-cleared native protein PDB in the native dropzone; ensure it is distinct from the prediction and has valid ATOM coordinates.,"native_valid_count,native_prediction_distinct_count,manifest_native_pdb",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
10,H2324,no_leak_evidence,open,casp17/competitive_floor_target_identity_clearance_action_bundle/H2324_T_Cell_Receptor_N17.2_complex_5_chains,casp17/competitive_floor_target_identity_clearance_action_bundle/H2324_T_Cell_Receptor_N17.2_complex_5_chains/action_010_no_leak_evidence,casp17/competitive_floor_target_identity_clearance_action_bundle/H2324_T_Cell_Receptor_N17.2_complex_5_chains/action_010_no_leak_evidence/ACTION.md,casp17/competitive_floor_target_identity_clearance_action_bundle/H2324_T_Cell_Receptor_N17.2_complex_5_chains/action_010_no_leak_evidence/evidence_request.md,casp17/competitive_floor_target_identity_clearance_workorders/H2324_T_Cell_Receptor_N17.2_complex_5_chains/provenance_template.csv,evidence_ref,"evidence_ref_required,identity_discovery_no_leak_clearance_required","Create a local evidence file that names the target and no-leak review, then write that path into the provenance template evidence_ref field.","evidence_ref_verified_count,identity_discovery_cleared_count",python3 tools/run_casp17_competitive_floor_target_identity_clearance_cycle.py
