action_group,action_id,queue_rank,required_benchmark_id,required_target_id,scope,field_name,action_status,value_present,evidence_ref_present,operator_clearance_present,source_path,operator_values_csv,destination_intake_csv,verify_command,next_action
evidence_file,strict_blind_evidence_001,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,prediction_pdb,open_missing_file,false,false,false,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,,,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place prediction_pdb evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb
evidence_file,strict_blind_evidence_002,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,native_pdb,open_missing_file,false,false,false,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/native/replacement_native.pdb,,,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place native_pdb evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/native/replacement_native.pdb
evidence_file,strict_blind_evidence_003,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,native_authority_ref,open_missing_file,false,false,false,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/authority/native_authority.md,,,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place native_authority_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/authority/native_authority.md
evidence_file,strict_blind_evidence_004,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,no_leak_evidence_ref,open_missing_file,false,false,false,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/no_leak/no_leak_evidence.md,,,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place no_leak_evidence_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/no_leak/no_leak_evidence.md
evidence_file,strict_blind_evidence_005,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_manifest_ref,open_missing_file,false,false,false,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/ablation/ablation_manifest.json,,,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place ablation_manifest_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/ablation/ablation_manifest.json
evidence_file,strict_blind_evidence_006,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration_values_ref,open_missing_file,false,false,false,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/calibration/calibration_values.json,,,python3 tools/build_casp17_historical_seed_strict_blind_replacement_evidence_quality_audit.py,place calibration_values_ref evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/calibration/calibration_values.json
operator_value,strict_blind_operator_001,1,hist_REQUIRED_MONOMER_001,,,replacement_target_id,open_operator_value,false,false,false,,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for replacement_target_id in replacement_operator_values.csv
operator_value,strict_blind_operator_002,1,hist_REQUIRED_MONOMER_001,,,replacement_benchmark_id,open_operator_value,false,false,false,,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for replacement_benchmark_id in replacement_operator_values.csv
operator_value,strict_blind_operator_003,1,hist_REQUIRED_MONOMER_001,,,target_identity_non_current_historical,open_operator_value,false,false,false,,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for target_identity_non_current_historical in replacement_operator_values.csv
operator_value,strict_blind_operator_004,1,hist_REQUIRED_MONOMER_001,,,prediction_created_at,open_operator_value,false,false,false,,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_operator_values.csv,casp17/historical_seed_strict_blind_replacement_intake/01_hist_required_monomer_001/replacement_candidate_intake.csv,python3 tools/build_casp17_historical_seed_strict_blind_replacement_operator_value_gate.py,fill operator_value for prediction_created_at in replacement_operator_values.csv
