field_order,field_key,fill_kind,operator_status,fill_status,value_status,evidence_status,required_format,destination,operator_template_csv,operator_value,operator_evidence_ref,blocker,next_action
1,source_id,manifest_value,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,internal source id; must not start official_archive/casp_official/massivefold_external,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for source_id
2,prediction_pdb,file,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,local pre-native prediction PDB path with ATOM/HETATM records,,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for prediction_pdb
3,prediction_pdb_dropzone,file,awaiting_file_copy,awaiting_operator_value,operator_value_missing,evidence_not_required,first-slot prediction dropzone PDB copy path,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,,operator_value_missing,fill operator_value for prediction_pdb_dropzone
4,prediction_created_at,manifest_value,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,YYYY-MM-DD prediction creation date,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for prediction_created_at
5,native_release_date,manifest_value,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,YYYY-MM-DD authoritative native release date,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for native_release_date
6,prediction_created_at/native_release_date,manifest_value,awaiting_derived_date_order,awaiting_operator_value,operator_value_missing,evidence_not_required,derived: prediction_created_at < native_release_date,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,/,,operator_value_missing,fill operator_value for prediction_created_at/native_release_date
7,native_authority_ref,manifest_value,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,artifact path or URI for authoritative native source,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for native_authority_ref
8,creation_evidence_ref,manifest_value,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,artifact path or URI for independent prediction timestamp evidence,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for creation_evidence_ref
9,no_leak_evidence_ref,manifest_value,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,artifact path or URI for no-leak provenance evidence,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for no_leak_evidence_ref
10,method_summary,manifest_value,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,short internal prediction method/source summary,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for method_summary
11,operator_clearance,manifest_value,awaiting_operator_value,awaiting_operator_value,operator_value_missing,evidence_required_missing,approved/clear/cleared/true/yes/operator_clear/operator_approved,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,fill operator_value for operator_clearance
