ledger_rank,ledger_status,field_key,fill_kind,priority_class,affected_check_ids,gate_blocked_check_count,gate_pass_check_count,gate_blockers,current_value,destination,review_gate_status,review_first_blocker,template_value_status,template_evidence_ref_status,template_clearance_status,template_operator_id_status,stub_status,stub_evidence_status,policy_status,file_status,evidence_stub_md,next_action,blockers,ledger_rule_id,claim_boundary
1,blocked_source_gate_field,source_id,manifest_value,01_source_identity,source_id_internal,1,0,internal_source_id_missing_or_external,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md,fill operator_value for source_id in operator_evidence_template.csv,"internal_source_id_missing_or_external,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
2,blocked_source_gate_field,prediction_pdb,file,02_prediction_file,"manifest_prediction_pdb_present,manifest_prediction_pdb_exists,prediction_pdb_has_atom_records",3,0,"prediction_pdb_missing,prediction_pdb_not_found,prediction_pdb_has_no_atom_records",,,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_path_missing,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md,fill operator_value for prediction_pdb in operator_evidence_template.csv,"prediction_pdb_missing,prediction_pdb_not_found,prediction_pdb_has_no_atom_records,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,file_path_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
3,blocked_source_gate_field,prediction_pdb_dropzone,file,03_prediction_dropzone_copy,dropzone_prediction_pdb_exists,1,0,dropzone_prediction_pdb_missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_path_missing,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md,fill operator_value for prediction_pdb_dropzone in operator_evidence_template.csv,"dropzone_prediction_pdb_missing,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,file_path_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
4,blocked_source_gate_field,native_release_date,manifest_value,04_chronology,native_release_date_present,1,0,native_release_date_missing_or_invalid,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md,fill operator_value for native_release_date in operator_evidence_template.csv,"native_release_date_missing_or_invalid,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
5,blocked_source_gate_field,prediction_created_at,manifest_value,04_chronology,prediction_created_at_present,1,0,prediction_created_at_missing_or_invalid,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md,fill operator_value for prediction_created_at in operator_evidence_template.csv,"prediction_created_at_missing_or_invalid,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
6,blocked_source_gate_field,prediction_created_at/native_release_date,manifest_value,04_chronology,prediction_before_native,1,0,prediction_not_before_native,/,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md,fill operator_value for prediction_created_at/native_release_date in operator_evidence_template.csv,"prediction_not_before_native,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
7,blocked_source_gate_field,native_authority_ref,manifest_value,05_native_authority,native_authority_ref_present,1,0,native_authority_ref_missing,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md,fill operator_value for native_authority_ref in operator_evidence_template.csv,"native_authority_ref_missing,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
8,blocked_source_gate_field,creation_evidence_ref,manifest_value,06_provenance,creation_evidence_ref_present,1,0,creation_evidence_ref_missing,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md,fill operator_value for creation_evidence_ref in operator_evidence_template.csv,"creation_evidence_ref_missing,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
9,blocked_source_gate_field,method_summary,manifest_value,06_provenance,method_summary_present,1,0,method_summary_missing,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md,fill operator_value for method_summary in operator_evidence_template.csv,"method_summary_missing,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
10,blocked_source_gate_field,no_leak_evidence_ref,manifest_value,06_provenance,no_leak_evidence_ref_present,1,0,no_leak_evidence_ref_missing,,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,awaiting_operator_evidence,template_operator_value_missing,template_operator_value_missing,template_operator_evidence_ref_present,template_operator_clearance_missing,template_operator_id_missing,stub_present,"stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",policy_not_checked_value_missing,file_not_required,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md,fill operator_value for no_leak_evidence_ref in operator_evidence_template.csv,"no_leak_evidence_ref_missing,template_operator_value_missing,template_operator_clearance_missing,template_operator_id_missing,policy_not_checked_value_missing,stub_operator_value_missing,stub_operator_evidence_ref_missing,stub_operator_clearance_missing,stub_operator_id_missing",strict_blind_first_slot_source_gate_blocker_ledger_v1,"Local CASP17 strict-blind first-slot source-gate blocker ledger only. It merges source-gate checks, field actions, operator packet state, and first-unlock evidence review state into one closure ledger. It does not fill operator values, copy prediction files, approve provenance, compute CASP metrics, push remotes, or submit to CASP."
