action_id,candidate_rank,target_id,benchmark_id,scope,repair_class,blocker,priority,field_name,target_dropzone_field,action_status,candidate_status,candidate_folder,repair_folder,evidence_pointer,next_action
first_slot_repair_001,1,HIST_BBA5,hist_seed_bba5,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/01_hist_bba5,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/01_hist_bba5/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=2004-05-13,attach a prediction artifact created before the authoritative native release date
first_slot_repair_002,2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/02_hist_chignolin,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/02_hist_chignolin/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=2003-03-13,attach a prediction artifact created before the authoritative native release date
first_slot_repair_003,3,HIST_CRAMBIN,hist_seed_crambin,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/03_hist_crambin,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/03_hist_crambin/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=1981-04-30,attach a prediction artifact created before the authoritative native release date
first_slot_repair_004,4,HIST_FSD_1,hist_seed_fsd_1,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/04_hist_fsd_1,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/04_hist_fsd_1/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=1997-06-09,attach a prediction artifact created before the authoritative native release date
first_slot_repair_005,5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/05_hist_gb1_mini,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/05_hist_gb1_mini/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=1991-05-15,attach a prediction artifact created before the authoritative native release date
first_slot_repair_006,6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/06_hist_protein_a_bdomain,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/06_hist_protein_a_bdomain/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=1996-06-28,attach a prediction artifact created before the authoritative native release date
first_slot_repair_007,7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/07_hist_trp_cage,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/07_hist_trp_cage/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=2002-02-25,attach a prediction artifact created before the authoritative native release date
first_slot_repair_008,8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/08_hist_ubiquitin_mini,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/08_hist_ubiquitin_mini/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=1987-01-02,attach a prediction artifact created before the authoritative native release date
first_slot_repair_009,9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/09_hist_villin_hp35,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/09_hist_villin_hp35/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=2005-02-03,attach a prediction artifact created before the authoritative native release date
first_slot_repair_010,10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,chronology,prediction_not_before_native,1,prediction_created_at,prediction_pdb,open_repair_action,blocked_chronology_not_strict_blind,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/10_hist_ww_domain_fip35,casp17/historical_seed_strict_blind_replacement_first_slot_candidate_repair_board/10_hist_ww_domain_fip35/prediction_not_before_native,prediction_created_at=2026-02-19;native_release_date=2005-11-15,attach a prediction artifact created before the authoritative native release date
