family,target_id,candidate_tier,set_id,planned_task_id,required_artifact,proposed_repo_path,current_repo_signal,status,priority,notes
transporter_membrane,Aquaporin_1,low_risk,set1_core_blind,aqp1_core_full,target_native_csv,config/real_drug_targets_blind_aqp1_v1.csv,structure_sources_special_membrane + ood_measured20/40 present,todo,P0,"Add native path, pdb_id, pocket center, and notes for AQP1."
transporter_membrane,Aquaporin_1,low_risk,set1_core_blind,aqp1_core_full,ligand_reference_csv,config/ligand_binding_reference_blind_aqp1_v1.csv,missing,todo,P0,"Need binders/non-binders and provenance."
transporter_membrane,Aquaporin_1,low_risk,set1_core_blind,aqp1_core_full,eval_split_csv,config/ligand_eval_splits_blind_aqp1_v1.csv,missing,todo,P0,"Need fit/far_ood_eval roles frozen before execution."
transporter_membrane,Aquaporin_1,low_risk,set1_core_blind,aqp1_core_full,ligand_meta_csv,config/ligand_meta_blind_aqp1_v1.csv,missing,todo,P0,"Need smiles and physicochemical metadata."
transporter_membrane,Aquaporin_1,low_risk,set1_core_blind,aqp1_core_full,target_meta_csv,config/ligand_target_metadata_blind_aqp1_v1.csv,missing,todo,P0,"Need target family, sequence, and pocket fingerprint."
transporter_membrane,Aquaporin_1,low_risk,set1_core_blind,aqp1_core_full,profile_json,config/ligand_htvs_blind_aqp1_v1.json,template profile added,scaffold_added,P0,"Profile skeleton added in dry_run mode; placeholder ligand rows still block execution."
transporter_membrane,Aquaporin_1,low_risk,set3_operational_smoke,aqp1_smoke,smoke_task_binding,set3 uses same profile with ligand_sizes=64,governance pattern already exists,todo,P1,"Prefer same profile JSON, smoke handled in set spec."
transporter_membrane,GLUT1_4PYP,higher_upside,set2_expanded_ood,glut1_4pyp_full,target_native_csv,config/real_drug_targets_blind_glut1_4pyp_v1.csv,ood_measured40 structure entry present,todo,P0,"Add native path, pdb_id, pocket center, and notes for GLUT1."
transporter_membrane,GLUT1_4PYP,higher_upside,set2_expanded_ood,glut1_4pyp_full,ligand_reference_csv,config/ligand_binding_reference_blind_glut1_4pyp_v1.csv,missing,todo,P0,"Need transporter-focused binders/non-binders and provenance."
transporter_membrane,GLUT1_4PYP,higher_upside,set2_expanded_ood,glut1_4pyp_full,eval_split_csv,config/ligand_eval_splits_blind_glut1_4pyp_v1.csv,missing,todo,P0,"Freeze far_ood_eval roles before execution."
transporter_membrane,GLUT1_4PYP,higher_upside,set2_expanded_ood,glut1_4pyp_full,ligand_meta_csv,config/ligand_meta_blind_glut1_4pyp_v1.csv,missing,todo,P0,"Need smiles and physicochemical metadata."
transporter_membrane,GLUT1_4PYP,higher_upside,set2_expanded_ood,glut1_4pyp_full,target_meta_csv,config/ligand_target_metadata_blind_glut1_4pyp_v1.csv,missing,todo,P0,"Need target family, sequence, and pocket fingerprint."
transporter_membrane,GLUT1_4PYP,higher_upside,set2_expanded_ood,glut1_4pyp_full,profile_json,config/ligand_htvs_blind_glut1_4pyp_v1.json,template profile added,scaffold_added,P0,"Profile skeleton added in dry_run mode; GLUT1 ligand/metadata CSV dependencies are still missing."
transporter_membrane,transporter_membrane,family_level,all,external_validation_transporter_membrane_sets_v1_template,protocol_json,config/external_validation_transporter_membrane_sets_v1_template.json,template set spec added,scaffold_added,P0,"Family-level set template now exists; do not promote until placeholders are replaced and dry_run is removed."
transporter_membrane,transporter_membrane,family_level,all,external_validation_transporter_membrane_sets_v1,fit_donor_policy,docs/transporter_membrane_expansion_scaffold_plan.md,decision pending,todo,P0,"Freeze whether hard-decoy donor pool reuses an existing fit target or uses a membrane-family fit donor."
transporter_membrane,Aquaporin_4_3GD8,bridge_optional,set2_expanded_ood,aquaporin_4_3gd8_full,bridge_candidate_review,docs/transporter_membrane_expansion_scaffold_plan.md,ood_measured40 structure entry present,optional,P2,"Use only if same-family bridge evidence is needed before GLUT1."
transporter_membrane,OmpF_Porin_2OMF,fallback_optional,set2_expanded_ood,ompf_porin_2omf_full,fallback_candidate_review,docs/transporter_membrane_expansion_scaffold_plan.md,ood_measured20/40 structure entry present,optional,P3,"Fallback membrane analog if AQP1 ligand curation stalls."
