stage_order,stage_id,label,source_status,stage_status,ready_count,blocked_count,total_count,artifact_path,first_blocker,next_action
1,source_request_packet,Acquire or replace pre-native internal prediction source requests,awaiting_pre_native_source_or_candidate_replacement,stage_blocked,0,17,17,casp17/casp17_strict_blind_source_gate_source_request_packet_current.json,prediction_not_before_native,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence"
2,source_request_fulfillment_gate,Validate source request operator values and evidence,awaiting_source_request_operator_values,stage_blocked,0,17,17,casp17/casp17_strict_blind_source_request_fulfillment_gate_current.json,source_id_missing,fill operator_value for source_id
3,source_request_operator_fill_worklist,Fill source request operator template fields,awaiting_source_request_operator_values,stage_blocked,0,187,187,casp17/casp17_strict_blind_source_request_operator_fill_worklist_current.json,operator_value_missing,fill operator_value for source_id
4,source_request_operator_sync_plan,Sync ready source request values into source-gate operator packet,awaiting_source_request_fulfillment,stage_blocked,0,1,0,casp17/casp17_strict_blind_source_request_operator_sync_plan_current.json,source_id_missing,fill operator_value for source_id
5,first_unlock_handoff,Consolidate first source request into field-level unlock handoff,awaiting_first_unlock_operator_values,stage_blocked,0,11,11,casp17/casp17_strict_blind_first_unlock_handoff_current.json,operator_value_missing,fill operator_value for source_id
6,first_unlock_evidence_packet,Collect first-unlock field evidence and file dropzone references,awaiting_first_unlock_evidence_collection,stage_blocked,0,11,11,casp17/casp17_strict_blind_first_unlock_evidence_packet_current.json,operator_value_missing,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md, then fill operator_value and operator_evidence_ref for source_id"
7,first_unlock_evidence_review_gate,Review first-unlock evidence for source-gate sync eligibility,awaiting_first_unlock_evidence_review,stage_blocked,0,11,11,casp17/casp17_strict_blind_first_unlock_evidence_review_gate_current.json,template_operator_value_missing,fill operator_value for source_id in operator_evidence_template.csv
8,first_unlock_evidence_sync_plan,Sync reviewed first-unlock evidence into source-gate operator packet,awaiting_first_unlock_evidence_review,stage_blocked,0,11,11,casp17/casp17_strict_blind_first_unlock_evidence_sync_plan_current.json,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
9,source_gate_operator_packet,Complete first-slot source-gate operator packet,awaiting_source_gate_operator_values,stage_blocked,0,11,11,casp17/casp17_strict_blind_source_gate_operator_packet_current.json,source_id:awaiting_operator_value,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool"
10,internal_prediction_source_gate,Validate internal pre-native prediction source manifest and PDB,awaiting_internal_prediction_source_gate_fields,stage_blocked,3,13,16,casp17/casp17_strict_blind_internal_prediction_source_gate_current.json,internal_source_id_missing_or_external,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool"
11,internal_prediction_source_apply_plan,Copy verified internal prediction PDB into first-slot dropzone,blocked_until_internal_prediction_source_gate_passes,stage_blocked,0,16,16,casp17/casp17_strict_blind_internal_prediction_source_apply_plan_current.json,internal_prediction_source_gate_not_ready,copy verified internal prediction PDB into the first-slot prediction dropzone
12,first_slot_closure_kit,Close first strict-blind historical slot,blocked_on_internal_prediction_source_gate,stage_blocked,0,7,7,casp17/casp17_strict_blind_first_slot_closure_kit_current.json,internal_source_id_missing_or_external,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool"
13,batch_closure_runway,Propagate first-slot closure into 40-slot strict-blind runway,blocked_on_first_slot_internal_prediction_source,stage_blocked,0,40,40,casp17/casp17_strict_blind_batch_closure_runway_current.json,internal_source_id_missing_or_external,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool"
