row_rank,target_id,benchmark_id,scope,clearance_fill_candidate_status,field_candidate_csv,field_count,proposed_field_count,already_matching_field_count,operator_required_field_count,blocked_field_count,conflict_field_count,calibration_candidate_count,ablation_candidate_count,no_leak_manual_field_count,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/01_hist_bba5/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,partial_candidates_operator_provenance_required,casp17/historical_seed_clearance_fill_candidates/02_hist_chignolin/clearance_fill_candidates.csv,17,7,0,10,0,0,6,1,10,"complete no-leak provenance, then review and apply ready field candidates",operator_no_leak_evidence_required
3,HIST_CRAMBIN,hist_seed_crambin,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/03_hist_crambin/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
4,HIST_FSD_1,hist_seed_fsd_1,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/04_hist_fsd_1/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/05_hist_gb1_mini/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/06_hist_protein_a_bdomain/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/07_hist_trp_cage/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/08_hist_ubiquitin_mini/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/09_hist_villin_hp35/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,partial_candidates_operator_provenance_and_ablation_required,casp17/historical_seed_clearance_fill_candidates/10_hist_ww_domain_fip35/clearance_fill_candidates.csv,17,6,0,10,1,0,6,0,10,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"operator_no_leak_evidence_required,ablation_layer_evidence_missing"
