execution_rank,target_id,benchmark_id,scope,execution_status,operator_no_leak_field_count,proposed_field_count,calibration_candidate_count,ablation_candidate_count,blocked_ablation_field_count,field_candidate_csv,no_leak_repair_csv,ablation_repair_csv,execution_folder,next_action,blockers
1,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,operator_no_leak_only,10,7,6,1,0,casp17/historical_seed_clearance_fill_candidates/02_hist_chignolin/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/02_hist_chignolin/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/02_hist_chignolin/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/02_hist_chignolin,"fill operator no-leak evidence fields, then apply prepared calibration and ablation candidates",operator_no_leak_evidence_required
2,HIST_BBA5,hist_seed_bba5,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/01_hist_bba5/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/01_hist_bba5/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/01_hist_bba5/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/01_hist_bba5,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
3,HIST_CRAMBIN,hist_seed_crambin,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/03_hist_crambin/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/03_hist_crambin/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/03_hist_crambin/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/03_hist_crambin,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
4,HIST_FSD_1,hist_seed_fsd_1,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/04_hist_fsd_1/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/04_hist_fsd_1/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/04_hist_fsd_1/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/04_hist_fsd_1,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/05_hist_gb1_mini/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/05_hist_gb1_mini/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/05_hist_gb1_mini/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/05_hist_gb1_mini,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/06_hist_protein_a_bdomain/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/06_hist_protein_a_bdomain/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/06_hist_protein_a_bdomain/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/06_hist_protein_a_bdomain,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/07_hist_trp_cage/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/07_hist_trp_cage/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/07_hist_trp_cage/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/07_hist_trp_cage,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/08_hist_ubiquitin_mini/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/08_hist_ubiquitin_mini/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/08_hist_ubiquitin_mini/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/08_hist_ubiquitin_mini,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/09_hist_villin_hp35/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/09_hist_villin_hp35/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/09_hist_villin_hp35/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/09_hist_villin_hp35,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,ablation_repair_then_operator_no_leak,10,6,6,0,1,casp17/historical_seed_clearance_fill_candidates/10_hist_ww_domain_fip35/clearance_fill_candidates.csv,casp17/historical_seed_no_leak_gap_repair_plan/10_hist_ww_domain_fip35/no_leak_gap_repair_fields.csv,casp17/historical_seed_ablation_gap_repair_plan/10_hist_ww_domain_fip35/ablation_gap_repair_candidates.csv,casp17/historical_seed_clearance_execution_board/10_hist_ww_domain_fip35,"repair real ablation layer evidence, then fill operator no-leak evidence fields","operator_no_leak_evidence_required,real_ablation_layer_required"
