resolution_id,request_id,candidate_target_id,candidate_scope,request_kind,request_status,resolution_status,resolution_class,ready_for_source_gate,current_first_blocker,internal_like_review_status,internal_like_candidate_count,internal_like_pre_native_count,internal_like_post_native_count,native_release_date,current_prediction_pdb,blockers,next_action
source_request_resolution_001,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,2004-05-13,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_002,source_request_002,HIST_CHIGNOLIN,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,22,0,22,2003-03-13,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_003,source_request_003,HIST_CRAMBIN,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,1981-04-30,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_004,source_request_004,HIST_FSD_1,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,1997-06-09,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_005,source_request_005,HIST_GB1_MINI,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,1991-05-15,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_006,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,1996-06-28,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_007,source_request_007,HIST_TRP_CAGE,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,2002-02-25,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_008,source_request_008,HIST_UBIQUITIN_MINI,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,1987-01-02,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_009,source_request_009,HIST_VILLIN_HP35,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,2005-02-03,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
source_request_resolution_010,source_request_010,HIST_WW_DOMAIN_FIP35,monomer,pre_native_prediction_source_required,awaiting_pre_native_source_or_replacement,requires_new_pre_native_internal_source,source_replacement_required,false,prediction_not_before_native,target_all_internal_like_candidates_post_native,16,0,16,2005-11-15,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,"all_internal_like_candidates_post_native,prediction_not_before_native",replace this source request with a different internal prediction artifact created before native release
