repair_rank,source_rank,benchmark_id,target_id,scope,repair_phase,repair_status,blocking_field_count,blockers,next_action
1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
2,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
3,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
4,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
5,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
6,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,target_identity,awaiting_target_identity,1,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
7,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,core_files,awaiting_core_files,2,"native_pdb_not_found,prediction_pdb_not_found",provide local historical prediction_pdb and native_pdb source files for this target
8,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,no_leak_provenance,awaiting_no_leak_provenance,9,"current_casp17_target_must_be_false,leakage_clearance_required,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false","fill no-leak provenance, dates, method, and true/false leakage confirmations"
9,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,ablation_files,awaiting_ablation_files,1,ablation_layer_prediction_pdb_missing,provide all required local ablation-layer prediction PDBs after the target identity is cleared
10,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,calibration_values,awaiting_calibration_values,6,"best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","enter selected/best ranks, native metrics, and internal scores from cleared historical evidence"
