benchmark_id,target_id,scope,split,prediction_pdb,native_pdb,leakage_clearance,prediction_method,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,current_casp17_target,operator_clearance,recursive_prediction_pdb,scored_prediction_pdb,sidechain_scaffold_prediction_pdb,sidechain_repacked_prediction_pdb,sidechain_completed_prediction_pdb,steric_relaxed_prediction_pdb,rotamer_minimized_prediction_pdb,polar_refined_prediction_pdb,forcefield_minimized_prediction_pdb,statistical_rotamer_prediction_pdb,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score
hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_001_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_001_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_001TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_001TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_002_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_002_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_002TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_002TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_003_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_003_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_003TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_003TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_004_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_004_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_004TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_004TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_005_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_005_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_005TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_005TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_006_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_006_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_006TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_006TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_007_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_007_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_007TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_007TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_008_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_008_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_008TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_008TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_009_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_009_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_009TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_009TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,historical,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_010_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_010_native.pdb,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_INTERNAL_METHOD,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_OPERATOR_CLEARANCE,runs/casp17_historical_ablation_predictions_current/recursive/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/scored/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_scaffold/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_repacked/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/sidechain_completed/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/steric_relaxed/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/rotamer_minimized/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/polar_refined/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/forcefield_minimized/REQUIRED_MONOMER_010TS.pdb,runs/casp17_historical_ablation_predictions_current/statistical_rotamer/REQUIRED_MONOMER_010TS.pdb,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE
