triage_category,file_count,atom_like_count,promotion_ready_count,review_priority,proof_use,first_sample_path,sample_paths,blockers,next_action
internal_structure_archive_unverified,166,166,0,1,operator_review_only_until_source_chronology_no_leak_clearance,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_bba5_sample000_step00020.pdb,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_bba5_sample000_step00020.pdb;data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_chignolin_sample000_step00010.pdb;data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_chignolin_sample000_step00020.pdb;data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_crambin_sample000_step00020.pdb;data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_fsd_1_sample000_step00020.pdb;data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_gb1_mini_sample000_step00020.pdb;data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_protein_a_bdomain_sample000_step00020.pdb;data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_trp_cage_sample000_step00020.pdb,source_id_chronology_no_leak_operator_clearance_required,"inspect metadata for source_id, creation timestamp, native release chronology, no-leak evidence, and operator clearance before any strict-blind promotion"
public_structure_archive_not_internal,3962,1686,0,2,blocked_public_structure_not_internal_prediction,data/public_structures/2026-02-15/bba5_pdb_1T8J.pdb,data/public_structures/2026-02-15/bba5_pdb_1T8J.pdb;data/public_structures/2026-02-15/chignolin_pdb_1UAO.pdb;data/public_structures/2026-02-15/crambin_pdb_1CRN.pdb;data/public_structures/2026-02-15/fsd_1_pdb_1FSD.pdb;data/public_structures/2026-02-15/gb1_mini_pdb_2GB1.pdb;data/public_structures/2026-02-15/protein_a_bdomain_pdb_1BDD.pdb;data/public_structures/2026-02-15/trp_cage_pdb_1L2Y.pdb;data/public_structures/2026-02-15/ubiquitin_mini_pdb_1UBQ.pdb,blocked_public_structure_not_internal_prediction,exclude from internal proof unless separately proven to be an internal pre-native prediction
wetlab_ligand_or_allatom_review_only,103,103,0,2,blocked_wetlab_ligand_or_repair_context_not_blind_prediction,runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0177__cathepsin_k_19_of_20_090178/backmapped_Cathepsin_K__rep0177__cathepsin_k_19_of_20_090178.pdb,runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0177__cathepsin_k_19_of_20_090178/backmapped_Cathepsin_K__rep0177__cathepsin_k_19_of_20_090178.pdb;runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0180__cathepsin_k_19_of_20_090181/backmapped_Cathepsin_K__rep0180__cathepsin_k_19_of_20_090181.pdb;runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0216__cathepsin_k_19_of_20_090217/backmapped_Cathepsin_K__rep0216__cathepsin_k_19_of_20_090217.pdb;runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0264__cathepsin_k_19_of_20_090265/backmapped_Cathepsin_K__rep0264__cathepsin_k_19_of_20_090265.pdb;runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0318__cathepsin_k_19_of_20_090319/backmapped_Cathepsin_K__rep0318__cathepsin_k_19_of_20_090319.pdb;runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0383__cathepsin_k_19_of_20_090384/backmapped_Cathepsin_K__rep0383__cathepsin_k_19_of_20_090384.pdb;runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0472__cathepsin_k_19_of_20_090473/backmapped_Cathepsin_K__rep0472__cathepsin_k_19_of_20_090473.pdb;runs/wetlab_allatom_refinement/cathepsin_k/19_of_20/top_8/allatom_delivery/jobs/Cathepsin_K__rep0575__cathepsin_k_19_of_20_090576/backmapped_Cathepsin_K__rep0575__cathepsin_k_19_of_20_090576.pdb,blocked_wetlab_ligand_or_repair_context_not_blind_prediction,keep in ligand/wetlab retrospective review; do not use as CASP strict-blind source
gpcr_repair_or_profile_review_only,268,257,0,2,blocked_gpcr_repair_context_not_casp_historical_prediction,runs/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_probe.pdb,runs/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_probe.pdb;runs/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_raw_current.pdb;runs/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_split_oxt_current.pdb;runs/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_split_oxt_probe.pdb;runs/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_split_probe.pdb;runs/gpcr_drd2_chembl156164_global_clash_relief_candidates_current/CHEMBL156164_global_clash_relief_candidate_0.pdb;runs/gpcr_drd2_chembl156164_global_clash_relief_candidates_current/CHEMBL156164_global_clash_relief_candidate_0_complex.pdb;runs/gpcr_drd2_chembl156164_global_clash_relief_candidates_current/CHEMBL156164_global_clash_relief_candidate_1.pdb,blocked_gpcr_repair_context_not_casp_historical_prediction,keep in GPCR repair review; do not use as CASP strict-blind source
selected_visual_or_name_index_review_only,31,28,0,2,blocked_visual_bundle_or_name_index_not_source_evidence,runs/_by_name/99_other/chimerax_drd2_6cm4_res35_swap_probe.pdb,runs/_by_name/99_other/chimerax_drd2_6cm4_res35_swap_probe.pdb;runs/_by_name/99_other/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_probe.pdb;runs/_by_name/99_other/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_raw_current.pdb;runs/_by_name/99_other/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_split_oxt_current.pdb;runs/_by_name/99_other/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_split_oxt_probe.pdb;runs/_by_name/99_other/gpcr_drd2_6cm4_chimerax_sidechain_rebuilt_split_probe.pdb;runs/_by_name/99_other/gpcr_drd2_integrated_openmm_complex_parameterization_probe_current.pdb;runs/selected_allatom_visual_bundle_assets/cathepsin_k/aligned_native_reference_structures/cathepsin_k_19_of_20_090265_native_aligned_reference.pdb,blocked_visual_bundle_or_name_index_not_source_evidence,"use as visual navigation only, not source evidence"
archival_smoke_or_delivery_review_only,16,16,0,2,blocked_smoke_delivery_archive_not_blind_source,archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0000__aspirin/backmapped_Chignolin__rep0000__aspirin.pdb,archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0000__aspirin/backmapped_Chignolin__rep0000__aspirin.pdb;archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0001__caffeine/backmapped_Chignolin__rep0001__caffeine.pdb;archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0002__ibuprofen/backmapped_Chignolin__rep0002__ibuprofen.pdb;archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0003__imatinib/backmapped_Chignolin__rep0003__imatinib.pdb;archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0004__erlotinib/backmapped_Chignolin__rep0004__erlotinib.pdb;archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0005__nilotinib/backmapped_Chignolin__rep0005__nilotinib.pdb;archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0006__aspirin/backmapped_Chignolin__rep0006__aspirin.pdb;archives/smoke_cleanup_2026-02-22/ligand_htvs_pipeline_smoke_2026-02-22_stage3_delivery/jobs/Chignolin__rep0007__caffeine/backmapped_Chignolin__rep0007__caffeine.pdb,blocked_smoke_delivery_archive_not_blind_source,keep as archived smoke/delivery evidence only
runs_other_unverified,4,3,0,2,operator_review_only_unclassified_run_artifact,runs/chimerax_drd2_6cm4_res35_swap_probe.pdb,runs/chimerax_drd2_6cm4_res35_swap_probe.pdb;runs/synthetic_protein_atom_frames_fixture_current/synthetic_protein_atom_fixture_structure.pdb;runs/tcruzi_pde_strict_external_openmm/tcruzi_pde_3v94_chain_B.pdb;runs/viewer_protein_atom_smoke/protein_atom_frames_smoke_reference_current.pdb,operator_review_only_unclassified_run_artifact,classify provenance before considering source-gate evidence
data_other_unverified,0,0,0,2,operator_review_only_unclassified_data_artifact,,,,classify provenance before considering source-gate evidence
tmp_or_misc_unverified,1,1,0,2,blocked_temporary_or_misc_artifact,tmp/render_inputs/tcruzi_pde_chain_B_openmm_ca_md_multistate.pdb,tmp/render_inputs/tcruzi_pde_chain_B_openmm_ca_md_multistate.pdb,blocked_temporary_or_misc_artifact,ignore unless operator supplies durable source evidence
other_unclassified,0,0,0,2,operator_review_only_unclassified_artifact,,,,classify provenance before considering source-gate evidence
