area,artifact_path,status,priority,notes
target_packet,config/real_drug_targets_blind_pxr_nr1i2_v1.csv,missing,P0,"Create the primary blind target row for PXR/NR1I2 using repo-local native structure as the first anchor."
target_metadata,config/ligand_target_metadata_blind_pxr_nr1i2_v1.csv,missing,P0,"Define target_family, sequence, and pocket fingerprint for NR1I2."
core_reference,config/ligand_binding_reference_blind_pxr_nr1i2_v1.csv,missing,P0,"Create the first binder/non-binder blind reference table for PXR core blind evaluation."
core_splits,config/ligand_eval_splits_blind_pxr_nr1i2_v1.csv,missing,P0,"Define fit versus far_ood_eval role assignments for the core blind packet."
core_ligand_meta,config/ligand_meta_blind_pxr_nr1i2_v1.csv,missing,P0,"Add ligand descriptors needed for leakage audit and hard-decoy synthesis."
ood_reference,config/ligand_binding_reference_blind_pxr_nr1i2_chembl50_v1.csv,missing,P1,"Create the expanded OOD reference table for PXR."
ood_splits,config/ligand_eval_splits_blind_pxr_nr1i2_chembl50_v1.csv,missing,P1,"Define far_ood_eval roles for the larger PXR OOD set."
ood_ligand_meta,config/ligand_meta_blind_pxr_nr1i2_chembl50_v1.csv,missing,P1,"Add ligand descriptors for the larger OOD set."
core_profile,config/ligand_htvs_blind_pxr_nr1i2_v1.json,missing,P1,"Clone a blind ligand profile as a scaffold; do not claim family optimization yet."
ood_profile,config/ligand_htvs_blind_pxr_nr1i2_chembl50_v1.json,missing,P1,"Clone a larger-OOD blind ligand profile for PXR."
family_set_template,config/external_validation_biorxiv_nuclear_receptor_pxr_v1_template.json,missing,P1,"Add a set1/set2/set3 template for the nuclear receptor family."
secondary_reference,ESR1,partial,P2,"Repo-local structure-side reference exists; use only as a secondary anchor until ligand governance packet exists."
secondary_reference,NR3C1,partial,P2,"Repo-local structure-side reference exists; use only as a secondary anchor until ligand governance packet exists."
documentation,docs/nuclear_receptor_pxr_expansion_scaffold.md,complete,P0,"Family scaffold and governance checklist added."
