action_rank,candidate_rank,candidate_id,target_id,ligand_id,ligand_source_dataset,action_id,action_type,action_status,required_artifact,current_evidence,blocks,recommended_owner,action_folder,action_md,next_action
1,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_001,reference_file_preflight,reference_files_present_review_only,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex_minimized.pdb;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/ligand.mol2;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/ligand_template.xml,casp17/organic_ligand_slot_candidate_packet/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/CANDIDATE.md,candidate_core_files,operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/001_reference_file_preflight,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/001_reference_file_preflight/ACTION.md,"local reference/prediction/ligand files are present, but proof authority is still blocked"
2,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_002,direct_native_or_source_authority,open_operator_evidence_required,direct experimental native/source authority for the same receptor-ligand system,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL4453005;chembl_target:CHEMBL2010636;chembl_document:CHEMBL4402584;chembl_assay:CHEMBL4405037;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb,"strict_blind_promotion,competitive_proof",operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/002_direct_native_or_source_authority,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/002_direct_native_or_source_authority/ACTION.md,attach direct non-homolog native/source authority or explicitly replace this candidate
3,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_003,no_leak_provenance,open_operator_evidence_required,independent no-leak provenance dossier and negative controls,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required","strict_blind_promotion,metric_surface",operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/003_no_leak_provenance,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/003_no_leak_provenance/ACTION.md,attach independent no-leak evidence and operator clearance for this ligand candidate
4,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_004,prediction_chronology,open_operator_evidence_required,"prediction_created_at, native_release_date, before-native confirmation",strict_blind_replacement_or_authority_required,"strict_blind_promotion,competitive_proof",operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/004_prediction_chronology,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/004_prediction_chronology/ACTION.md,prove prediction chronology is before native/source release or keep candidate retrospective-only
5,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_005,ligand_pose_reference,open_operator_evidence_required,ligand pose/native interaction reference suitable for ligand metrics,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb,"LDDT-PLI,BiSyRMSD",operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/005_ligand_pose_reference,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/005_ligand_pose_reference/ACTION.md,"attach a metric-valid ligand pose reference, including receptor/ligand chain and residue mapping"
6,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_006,affinity_numeric_label,open_numeric_value_required,numeric affinity label with units and assay provenance,Ki,Kendall_tau_affinity,operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/006_affinity_numeric_label,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/006_affinity_numeric_label/ACTION.md,"attach numeric Ki/IC50/Kd value, units, assay reference, censoring flag, and transform rule"
7,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_007,lddt_pli_metric_inputs,open_metric_input_required,native and prediction receptor-ligand interaction maps for LDDT-PLI,"LDDT-PLI,BiSyRMSD,Kendall_tau_affinity",LDDT-PLI,operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/007_lddt_pli_metric_inputs,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/007_lddt_pli_metric_inputs/ACTION.md,prepare LDDT-PLI input JSON after direct authority and no-leak evidence clear
8,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_008,bisyrmsd_metric_inputs,open_metric_input_required,binding-site superposition and symmetry-corrected ligand pose RMSD inputs,"LDDT-PLI,BiSyRMSD,Kendall_tau_affinity",BiSyRMSD,operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/008_bisyrmsd_metric_inputs,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/008_bisyrmsd_metric_inputs/ACTION.md,prepare BiSyRMSD input JSON after ligand pose reference is approved
9,1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,organic_ligand_promotion_action_009,strict_blind_slot_mapping,open_slot_mapping_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,blocked_homolog_source_no_leak_and_chronology_required,"metric_surface_contract,competitive_floor",operator,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/009_strict_blind_slot_mapping,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/009_strict_blind_slot_mapping/ACTION.md,map only cleared candidates into organic ligand strict-blind slots; do not use homolog-only candidates
10,2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,organic_ligand_promotion_action_010,reference_file_preflight,reference_files_present_review_only,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex_minimized.pdb;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/ligand.mol2;runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/ligand_template.xml,casp17/organic_ligand_slot_candidate_packet/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/CANDIDATE.md,candidate_core_files,operator,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/010_reference_file_preflight,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/010_reference_file_preflight/ACTION.md,"local reference/prediction/ligand files are present, but proof authority is still blocked"
