row_rank,benchmark_id,target_id,scope,operator_row_status,core_ready,ablation_ready,calibration_ready,prediction_pdb_exists,native_pdb_exists,ablation_layer_present_count,ablation_layer_required_count,missing_ablation_layers,calibration_blockers,blockers
1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,blocked,False,False,False,False,False,0,10,"recursive,scored,sidechain_scaffold,sidechain_repacked,sidechain_completed,steric_relaxed,rotamer_minimized,polar_refined,forcefield_minimized,statistical_rotamer","best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric","ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric"
